"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n1";"n2";"n";"g";"type";"design";"setting";"perpetrator";"dv";"id";"nnew";"effest.exp";"effestnew.exp";"ncnew";"ntnew";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Clark & World (1972) (2) exp 2";"Clark";"World";"";"";"";NA;NA;1972;10;20;30;0.111;"lab";"exp";"emerg";"no";"helping rate";13;30;-0.111;-0.23701151;10;20;-0.114083333333333;-0.243595163055556;0.133333204790179;0.133333204790179;0.126223399129344;0.126223399129344
"Clark & World (1974) (1) exp 1";"Clark";"World";"";"";"";NA;NA;1974;11;8;19;0.799;"lab";"exp";"emerg";"no";"helping rate";13;19;-0.799;-0.799;11;8;-0.836453125;-0.836453125;0.210483374981914;0.210483374981914;0.192056115822214;0.192056115822214
"Clark & World (1974) (1) exp 2";"Clark";"World";"";"";"";NA;NA;1974;11;8;19;0.303;"lab";"exp";"emerg";"no";"helping rate";13;19;-0.303;-0.303;11;8;-0.317203125;-0.317203125;0.21052013935617;0.21052013935617;0.192089661573373;0.192089661573373
"Clark & World (1974) (1) exp 3";"Clark";"World";"";"";"";NA;NA;1974;11;8;19;0.466;"lab";"exp";"emerg";"no";"helping rate";13;19;-0.466;-0.466;11;8;-0.48784375;-0.48784375;0.210511707245338;0.210511707245338;0.192081967671397;0.192081967671397
"Clark & World (1974) (1) exp 4";"Clark";"World";"";"";"";NA;NA;1974;11;8;19;-0.169;"lab";"exp";"emerg";"no";"helping rate";13;19;0.169;0.169;11;8;0.176921875;0.176921875;0.210524394314705;0.210524394314705;0.192093544021615;0.192093544021615
"Clark & World (1974) (2) exp 1";"Clark";"World";"";"";"";NA;NA;1974;8;8;16;0.736;"lab";"exp";"emerg";"no";"helping rate";13;16;-0.736;-0.736;8;8;-0.778461538461538;-0.778461538461538;0.249926046984368;0.249926046984368;0.223404968940738;0.223404968940738
"Clark & World (1974) (2) exp 2";"Clark";"World";"";"";"";NA;NA;1974;8;8;16;0;"lab";"exp";"emerg";"no";"helping rate";13;16;0;0;8;8;0;0;0.25;0.25;0.223471074380165;0.223471074380165
"Clark & World (1974) (2) exp 3";"Clark";"World";"";"";"";NA;NA;1974;8;8;16;0.626;"lab";"exp";"emerg";"no";"helping rate";13;16;-0.626;-0.626;8;8;-0.662115384615385;-0.662115384615385;0.249946496220825;0.249946496220825;0.223423248192102;0.223423248192102
"Cramer et al.";"Cramer";"McMaster";"Bartell";"Dragna";"";NA;NA;1988;14;14;28;-0.805;"lab";"exp";"emerg";"no";"helping rate";13;28;0.805;0.805;14;14;0.82915;0.82915;0.142848195456792;0.142848195456792;0.134648124664711;0.134648124664711
"Cramer et al.";"Cramer";"McMaster";"Bartell";"Dragna";"";NA;NA;1988;14;14;28;-0.207;"lab";"exp";"emerg";"no";"helping rate";13;28;0.207;0.207;14;14;0.21321;0.21321;0.142856551198513;0.142856551198513;0.134656000752675;0.134656000752675
