"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n1";"n2";"n";"g";"type";"design";"setting";"perpetrator";"dv";"id";"nnew";"effest.exp";"effestnew.exp";"ncnew";"ntnew";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Solomon et al.";"Solomon";"Solomon";"Stone";"";"";NA;NA;1978;16;16;32;-0.275;"field";"qexp";"emerg";"no";"helping rate";13;32;0.275;0.275;16;16;0.282112068965517;0.282112068965517;0.124999392800653;0.124999392800653;0.118776345563561;0.118776345563561
"Staub";"Staub";"";"";"";"";NA;NA;1970;83;73;156;0.671;"lab";"qexp";"emerg";"no";"helping rate";13;156;-0.671;-0.671;83;73;-0.674289215686275;-0.674289215686275;0.0256410194993918;0.0256410194993918;0.0253914733488802;0.0253914733488802
"Valentine";"Valentine";"";"";"";"";NA;NA;1980;27;27;54;-0.751;"field";"exp";"non emerg";"no";"helping rate";13;54;0.751;0.751196092;27;27;0.762044117647059;0.762243093352941;0.074073527722782;0.074073527722782;0.0719420273451258;0.0719420273451258
"Valentine";"Valentine";"";"";"";"";NA;NA;1980;28;28;56;0.671;"field";"exp";"non emerg";"no";"helping rate";13;56;-0.671;-0.671116569;28;28;-0.680495283018868;-0.680613501580189;0.0714281947370659;0.0714281947370659;0.0694487568255855;0.0694487568255855
"van den Bos";"van den Bos";"Muller";"van Bussel";"";"";NA;NA;2009;13;13;26;-1.511;"lab";"exp";"emerg";"no";"combined";13;26;1.511;1.511;13;13;1.56027173913043;1.56027173913043;0.15380354725505;0.15380354725505;0.144243016506011;0.144243016506011
"van den Bos";"van den Bos";"Muller";"van Bussel";"";"";NA;NA;2009;13;13;26;-0.814;"lab";"exp";"emerg";"no";"combined";13;26;0.814;0.814;13;13;0.84054347826087;0.84054347826087;0.153833786342511;0.153833786342511;0.144271375911691;0.144271375911691
"Voelpel";"Voelpel";"Eckhoff";"Forster";"";"";NA;NA;2008;28;68;96;-0.268;"field";"exp";"non emerg";"no";"helping rate";13;97;0.268;0.267676536;29;68;0.270161290322581;0.269812253042553;0.0416666597920066;0.0412371068065391;0.0410026599015612;0.0405868603802624
"Voelpel";"Voelpel";"Eckhoff";"Forster";"";"";NA;NA;2008;28;77;105;-0.781;"field";"exp";"non emerg";"no";"helping rate";13;105;0.781;0.781;28;77;0.786742647058824;0.786742647058824;0.038095197357425;0.038095197357425;0.0375410927765428;0.0375410927765428
"Voelpel";"Voelpel";"Eckhoff";"Forster";"";"";NA;NA;2008;28;101;129;-0.154;"field";"exp";"non emerg";"no";"helping rate";13;129;0.154;0.154;28;101;0.154916666666667;0.154916666666667;0.0310077512446746;0.0310077512446746;0.0306418812762051;0.0306418812762051
"Wegner & Schaefer";"Wegner";"Schaefer";"";"";"";NA;NA;1978;24;24;48;-0.572;"lab";"exp";"non emerg";"no";"other";13;48;0.572;0.572;24;24;0.581533333333333;0.581533333333333;0.0833328236838265;0.0833328236838265;0.0806229952329416;0.0806229952329416
"Wiesenthal et al. 2";"Wiesenthal";"Austrom";"Silverman";"";"";NA;NA;1983;7;13;20;-0.885;"field";"qexp";"non emerg";"no";"other";13;20;0.885;0.885;7;13;0.924044117647059;0.924044117647059;0.199957316234896;0.199957316234896;0.183416510666566;0.183416510666566
"Wiesenthal et al. 2";"Wiesenthal";"Austrom";"Silverman";"";"";NA;NA;1983;208;4;212;-0.493;"field";"qexp";"non emerg";"no";"other";13;212;0.493;0.493;208;4;0.494769138755981;0.494769138755981;0.0188679235587932;0.0188679235587932;0.0187332332797946;0.0187332332797946
"Wilson";"Wilson";"";"";"";"";NA;NA;1976;22;42;64;-0.294;"lab";"exp";"emerg";"no";"helping rate";13;64;0.294;0.294;22;42;0.297614754098361;0.297614754098361;0.0624999577643957;0.0624999577643957;0.0609909601118042;0.0609909601118042
"Wilson";"Wilson";"";"";"";"";NA;NA;1976;23;42;65;0.134;"lab";"exp";"emerg";"no";"helping rate";13;65;-0.134;-0.134;23;42;-0.135620967741935;-0.135620967741935;0.0615384532953689;0.0615384532953689;0.0600762056392497;0.0600762056392497
"Wilson";"Wilson";"";"";"";"";NA;NA;1976;24;43;67;-0.987;"lab";"exp";"emerg";"no";"helping rate";13;67;0.987;0.987;24;43;0.99856640625;0.99856640625;0.0597010966771502;0.0597010966771502;0.05832606955522;0.05832606955522
