"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"g";"perfemale";"age";"jadad";"id";"d";"vd";"vg"
"Brainstrom et al.";"Branstrom";"Kvillemo";"Brandberg";"Moskowitz";"";"";"";2010;71;0.26;99;52;2;25;0.262867647058824;0.0563380064154361;0.055115518236557
"Foley et al.";"Foley";"Baillie";"Huxter";"Price";"Sinclair";"";"";2010;115;0.64;77;55;4;25;0.644285714285714;0.0347825897086941;0.0343213892011039
"Hoffman et al.";"Hoffman";"Ersser";"Hopkinson";"Nicholls";"";"";"";2012;214;0.39;100;49;4;25;0.391386255924171;0.0186915882007331;0.0185594147446678
"Johns et al.";"Johns";"Brown";"Beck-Coon";"Monahan";"Kroenke";"";"";2012;35;0.3;94;57;4;25;0.30703125;0.11428521173365;0.109110710858582
"Kingston et al.";"Kingston";"Collier";"Hevey";"McCormick";"Besani";"Coobey";"Odwyer";2012;13;0.89;63;50;2;25;0.95675;0.307436123825581;0.266034504121649
"Lengacher et al.";"Lengacher";"Johnson-Mallard";"Barta";"Fitzgerald";"Moscoso";"Post-White";"Kip";2009;82;0.57;100;58;3;25;0.575411392405063;0.0487804292192664;0.0478672432476005
"Lerman et al.";"Lerman";"Jarski";"Rea";"Gellish";"Vicini";"";"";2011;68;0.2;100;57;1;25;0.202307692307692;0.0588235140981042;0.057489186673681
"Speca et al.";"Speca";"Carlson";"Goodey";"Angen";"";"";"";2000;90;0.42;81;51;3;25;0.423620689655172;0.044444422563097;0.0436879355693647
"Wurtzen et al.";"Wurtzen";"Dalton";"Steding-Jensen";"Elsass";"Flyger";"Pedersen";"Johansen";2012;267;0.22;100;54;3;25;0.220625;0.0149812733316175;0.014896513822282
