"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"performance";"id";"nnew";"effest.exp";"effestnew.exp";"vi.o";"vi.c"
"Nixon et al.";"Nixon";"Hitt";"Lee";"Jeong";"";"";"";2004;364;0.18;"G";9;364;0.18;0.023333333;0.00257920044077135;0.00275182205939933
"Park & Luo";"Park";"Luo";"";"";"";"";"";2001;128;0.33;"G";9;128;0.33;0.33;0.00625243472440945;0.00625243472440945
"Park et al.";"Park";"Mitsuhashi";"Fey";"Bjorkman";"";"";"";2003;52;0.09;"G";9;52;0.09;0.09;0.0192914825490196;0.0192914825490196
"Ployhart et al.";"Ployhart";"Weekley";"Ramsey";"";"";"";"";2009;1255;0.02;"G";9;1255;0.02;0.020740741;0.00079681033492823;0.000796762223587674
"Ployhart et al. - in press-";"Ployhart";"Van Iddekinge";"MacKenzie";"";"";"";"";2011;238;0.16;"G";9;238;0.16;0.16;0.00400614075949367;0.00400614075949367
"Powell & Dent-Micallef";"Powell";"Dent-Micallef";"";"";"";"";"";1997;65;0.38;"Both";9;65;0.38;0.38;0.0114383025;0.0114383025
"Roth";"Roth";"";"";"";"";"";"";1995;74;0.01;"G";9;74;0.01;0.0125;0.0136958905479452;0.0136943496495077
"Schlemmer & Web";"Schlemmer";"Webb";"";"";"";"";"";2006;106;0.38;"G";9;106;0.38;0.381;0.00697191771428571;0.00695952110400952
"Shrader & Siegel";"Shrader";"Siegel";"";"";"";"";"";2007;198;0.05;"G";9;198;0.05;0.05;0.00505079314720812;0.00505079314720812
"Simonin";"Simonin";"";"";"";"";"";"";1997;151;0.23;"G";9;151;0.23;0.23;0.0059799894;0.0059799894
"Skaggs & Youndt";"Skaggs";"Youndt";"";"";"";"";"";2004;234;0.27;"G";9;234;0.27;0.27;0.0036889030472103;0.0036889030472103
"Smith et al.";"Smith";"Collins";"Clark";"";"";"";"";2005;72;0.19;"O";9;72;0.19;0.19;0.0130859607042254;0.0130859607042254
"Takeuchi et al.";"Takeuchi";"Lepak";"Wang";"Takeuchi";"";"";"";2007;76;0.56;"G";9;76;0.56;0.56;0.0062819328;0.0062819328
"Tanriverdi & Venkatraman";"Tanriverdi";"Venkatraman";"";"";"";"";"";2005;303;0.12;"G";9;303;0.12;0.12;0.00321658066225166;0.00321658066225166
"Thompson & Heron";"Thompson";"Heron";"";"";"";"";"";2005;78;0.01;"G";9;78;0.01;0.01;0.0129844157142857;0.0129844157142857
"Tippens & Sohi";"Tippins";"Sohi";"";"";"";"";"";2003;271;0.18;"G";9;271;0.18;0.18;0.0034675917037037;0.0034675917037037
"Van Iddekinge et al.";"Van Iddekinge";"Ferris";"Perrewe";"Perryman";"Blass";"Heetderks";"";2009;861;0.14;"Both";9;861;0.14;0.160833333;0.001117656;0.0011034120911134
"Wang et al.";"Wang";"Heron";"Mahoney";"";"";"";"";2009;211;0.15;"G";9;211;0.15;0.15;0.00455002976190476;0.00455002976190476
"West & Noel";"West";"Noel";"";"";"";"";"";2009;177;0.19;"G";9;177;0.19;0.19;0.00527899551136364;0.00527899551136364
"Wright et al.";"Wright";"Liu";"Buck";"Filatotchev";"";"";"";1999;38;-0.02;"G";9;38;-0.02;-0.02;0.0270054097297297;0.0270054097297297
"Wright et al.";"Wright";"Liu";"Buck";"Filatotchev";"";"";"";2008;349;0.04;"G";9;349;0.04;0.0482;0.00286437517241379;0.00286022677426465
"Wright et al.";"Wright";"Liu";"Buck";"Filatotchev";"";"";"";1995;134;0.2;"G";9;134;0.2;0.2;0.00692932330827068;0.00692932330827068
"Yeoh";"Yeoh";"";"";"";"";"";"";2004;258;0.3;"G";9;258;0.3;0.3;0.00322217898832685;0.00322217898832685
"Yip et al.";"Yip";"Biscarri";"Monti";"";"";"";"";2000;68;0.2;"O";9;68;0.2;0.2;0.013755223880597;0.013755223880597
"Youndt & Snell";"Youndt";"Snell";"";"";"";"";"";2004;208;0.35;"G";9;208;0.35;0.35;0.00371983695652174;0.00371983695652174
"Zahra & Nielsen";"Zahra";"Nielsen";"";"";"";"";"";2002;97;0.29;"O";9;97;0.29;0.29;0.0087382584375;0.0087382584375
