"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"design";"task";"time";"id";"nnew";"effest.exp";"effestnew.exp";"vr.o";"vr.c";"z.o";"vz.o";"z.c";"vz.c"
"Chrysikou (2006)a";"Chrysikou";"";"";"";"";NA;NA;2006;35;0.1;"between";"visual";"yes";14;35;0.1;0.1;0.0288264705882353;0.0288264705882353;0.100335347731076;0.03125;0.100335347731076;0.03125
"Chrysikou (2006)a";"Chrysikou";"";"";"";"";NA;NA;2006;35;0.15;"between";"visual";"yes";14;35;0.15;0.15;0.028103125;0.028103125;0.151140435936467;0.03125;0.151140435936467;0.03125
"Cooney & Ladd (1992)";"Cooney";"Ladd";"";"";"";NA;NA;1992;9;0.26;"within";"nonvisual";"no";14;9;0.26;0.097442526;0.10867122;0.122637508018702;0.266108406873654;0.166666666666667;0.0977527020934417;0.166666666666667
"Cordo?n & Day (1996)";"Cordon";"Day";"";"";"";NA;NA;1996;64;-0.34;"between";"nonvisual";"no";14;64;-0.34;-0.34;0.0124152914285714;0.0124152914285714;-0.354092528962243;0.0163934426229508;-0.354092528962243;0.0163934426229508
"Cordo?n & Day (1996)";"Cordon";"Day";"";"";"";NA;NA;1996;64;-0.15;"between";"nonvisual";"yes";14;64;-0.15;-0.15;0.0151667658730159;0.0151667658730159;-0.151140435936467;0.0163934426229508;-0.151140435936467;0.0163934426229508
"Cote? et al. (1998)";"Cote";"Goldmann";"Saul";"";"";NA;NA;1998;24;-0.36;"between";"nonvisual";"no";14;24;-0.36;-0.36;0.0329389634782609;0.0329389634782609;-0.37688590118819;0.0476190476190476;-0.37688590118819;0.0476190476190476
"Cote? et al. (1998)";"Cote";"Goldmann";"Saul";"";"";NA;NA;1998;24;0.15;"within";"nonvisual";"no";14;24;0.15;0.15;0.04154375;0.04154375;0.151140435936467;0.0476190476190476;0.151140435936467;0.0476190476190476
"Cote? et al. (1998)";"Cote";"Goldmann";"Saul";"";"";NA;NA;1998;24;0.45;"between";"nonvisual";"no";14;24;0.45;0.446808511;0.0276524456521739;0.0278512860153314;0.484700278594052;0.0476190476190476;0.480705584029235;0.0476190476190476
"Davis et al. (1968)a";"Davis";"Carey";"Foxman";"Tarr";"";NA;NA;168;45;0.47;"between";"visual";"no";14;45;0.47;0.47;0.0137953820454545;0.0137953820454545;0.510070336613307;0.0238095238095238;0.510070336613307;0.0238095238095238
"de Vet & de Dreu (2006)";"de Vet";"de Dreu";"";"";"";NA;NA;2006;45;-0.13;"between";"visual";"yes";14;45;-0.13;-0.13;0.0219655820454545;0.0219655820454545;-0.130739850028878;0.0238095238095238;-0.130739850028878;0.0238095238095238
"Deffner (1989)a";"Deffner";"";"";"";"";NA;NA;1989;44;-0.15;"between";"visual";"no";14;44;-0.15;-0.15;0.0222210755813954;0.0222210755813954;-0.151140435936467;0.024390243902439;-0.151140435936467;0.024390243902439
