study;a1;a2;a3;a4;a5;a6;yop;n;r;students;gender;selfassess;ability;test;z;zexp;nnew;znew;znewexp;vz;newvz
Steinmayr & Spinath (2009), exp 5;Steinmayr;Spinath;;;NA;NA;2009;203;0.21;No;Female;Mixed;Verbal;IST 2000-R;0.213171347;0.213171347;203;0.213171347;0.213171347;0.005;0.005
Steinmayr & Spinath (2009), exp 6;Steinmayr;Spinath;;;NA;NA;2009;203;0.4;No;Female;Mixed;Numerical;IST 2000-R;0.42364893;0.42364893;203;0.42364893;0.42364893;0.005;0.005
Steinmayr & Spinath (2009), exp 7;Steinmayr;Spinath;;;NA;NA;2009;203;0.3;No;Female;Mixed;Spatial;IST 2000-R;0.309519604;0.309519604;203;0.309519604;0.309519604;0.005;0.005
Steinmayr & Spinath (2009), exp 8;Steinmayr;Spinath;;;NA;NA;2009;203;0.09;No;Female;Mixed;Other;IST 2000-R;0.090244188;0.090244188;203;0.090244188;0.090244188;0.005;0.005
Visser et al. (2008), exp 1;Visser;Ashton;Vernon;;NA;NA;2008;200;0.31;Yes;Mixed;Reference group;Verbal;Test battery;0.320545409;0.320545409;200;0.320545409;0.320545409;0.005076142;0.005076142
Visser et al. (2008), exp 2;Visser;Ashton;Vernon;;NA;NA;2008;200;0.05;Yes;Mixed;Reference group;Spatial;Test battery;0.050041729;0.050041729;200;0.050041729;0.050041729;0.005076142;0.005076142
Visser et al. (2008), exp 3;Visser;Ashton;Vernon;;NA;NA;2008;200;0.38;Yes;Mixed;Reference group;Numerical;Test battery;0.40005965;0.40005965;200;0.40005965;0.40005965;0.005076142;0.005076142
Visser et al. (2008), exp 4;Visser;Ashton;Vernon;;NA;NA;2008;200;0.16;Yes;Mixed;Reference group;Other;Test battery;0.161386696;0.161386696;200;0.161386696;0.161386696;0.005076142;0.005076142
Visser et al. (2008), exp 5;Visser;Ashton;Vernon;;NA;NA;2008;200;-0.1;Yes;Mixed;Reference group;Other;Test battery;-0.100335348;-0.100335348;200;-0.100335348;-0.100335348;0.005076142;0.005076142
Visser et al. (2008), exp 6;Visser;Ashton;Vernon;;NA;NA;2008;200;-0.01;Yes;Mixed;Reference group;Other;Test battery;-0.010000333;-0.010000333;200;-0.010000333;-0.010000333;0.005076142;0.005076142
Visser et al. (2008), exp 7;Visser;Ashton;Vernon;;NA;NA;2008;200;0.2;Yes;Mixed;Reference group;Other;Test battery;0.202732554;0.202732554;200;0.202732554;0.202732554;0.005076142;0.005076142
Visser et al. (2008), exp 8;Visser;Ashton;Vernon;;NA;NA;2008;200;0.25;Yes;Mixed;Reference group;Other;Test battery;0.255412812;0.255412812;200;0.255412812;0.255412812;0.005076142;0.005076142
Visser et al. (2008), exp 9;Visser;Ashton;Vernon;;NA;NA;2008;200;0.2;Yes;Mixed;Reference group;General;Test battery;0.202732554;0.202732554;200;0.202732554;0.202732554;0.005076142;0.005076142
Webb (1955);Webb;;;;NA;NA;1955;95;0.21;No;Mixed;Relative;General;Otis Quick-Scoring Test;0.213171347;0.213171347;95;0.213171347;0.213171347;0.010869565;0.010869565
Wells & Sweeney (1986);Wells;Sweeney;;;NA;NA;1986;1508;0.42;No;Mixed;Relative;General;Quick test;0.447692024;0.447692024;1508;0.447692024;0.447692024;0.000664452;0.000664452
Westbrook et al. (1994), exp 1;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;111;0.66;No;Female;Reference group;Verbal;Differential Aptitude Test;0.792813632;0.792813632;111;0.792813632;0.792813632;0.009259259;0.009259259
Westbrook et al. (1994), exp 10;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;99;0.69;No;Male;Reference group;Numerical;Differential Aptitude Test;0.847955755;0.847955755;99;0.847955755;0.847955755;0.010416667;0.010416667
Westbrook et al. (1994), exp 11;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;99;0.47;No;Male;Reference group;Other;Differential Aptitude Test;0.510070337;0.510070337;99;0.510070337;0.510070337;0.010416667;0.010416667
Westbrook et al. (1994), exp 12;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;99;0.3;No;Male;Reference group;Other;Differential Aptitude Test;0.309519604;0.309519604;99;0.309519604;0.309519604;0.010416667;0.010416667
Westbrook et al. (1994), exp 13;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;99;0.35;No;Male;Reference group;Other;Differential Aptitude Test;0.365443754;0.365443754;99;0.365443754;0.365443754;0.010416667;0.010416667
Westbrook et al. (1994), exp 14;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;99;0.51;No;Male;Reference group;Spatial;Differential Aptitude Test;0.562729769;0.562729769;99;0.562729769;0.562729769;0.010416667;0.010416667
Westbrook et al. (1994), exp 15;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;99;0.69;No;Male;Reference group;Verbal;Differential Aptitude Test;0.847955755;0.847955755;99;0.847955755;0.847955755;0.010416667;0.010416667
Westbrook et al. (1994), exp 16;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;99;0.55;No;Male;Reference group;Verbal;Differential Aptitude Test;0.618381314;0.618381314;99;0.618381314;0.618381314;0.010416667;0.010416667
Westbrook et al. (1994), exp 2;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;111;0.59;No;Female;Reference group;Numerical;Differential Aptitude Test;0.677666068;0.677666068;111;0.677666068;0.677666068;0.009259259;0.009259259
Westbrook et al. (1994), exp 3;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;111;0.49;No;Female;Reference group;Other;Differential Aptitude Test;0.536060337;0.536060337;111;0.536060337;0.536060337;0.009259259;0.009259259
Westbrook et al. (1994), exp 4;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;111;0.42;No;Female;Reference group;Other;Differential Aptitude Test;0.447692024;0.447692024;111;0.447692024;0.447692024;0.009259259;0.009259259
Westbrook et al. (1994), exp 5;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;111;0.47;No;Female;Reference group;Other;Differential Aptitude Test;0.510070337;0.510070337;111;0.510070337;0.510070337;0.009259259;0.009259259
Westbrook et al. (1994), exp 6;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;111;0.58;No;Female;Reference group;Spatial;Differential Aptitude Test;0.662462707;0.662462707;111;0.662462707;0.662462707;0.009259259;0.009259259
Westbrook et al. (1994), exp 7;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;111;0.57;No;Female;Reference group;Verbal;Differential Aptitude Test;0.647522845;0.647522845;111;0.647522845;0.647522845;0.009259259;0.009259259
Westbrook et al. (1994), exp 8;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;111;0.6;No;Female;Reference group;Verbal;Differential Aptitude Test;0.693147181;0.693147181;111;0.693147181;0.693147181;0.009259259;0.009259259
Westbrook et al. (1994), exp 9;Westbrook;Buck;Wynne;Sanford;NA;NA;1994;99;0.62;No;Male;Reference group;Verbal;Differential Aptitude Test;0.725005088;0.725005088;99;0.725005088;0.725005088;0.010416667;0.010416667
Wolff & Wasden (1969), exp 1;Wolff;Wasden;;;NA;NA;1969;13;-0.25;No;Female;Absolute;General;WAIS;-0.255412812;-0.255412812;13;-0.255412812;-0.255412812;0.1;0.1
Wolff & Wasden (1969), exp 2;Wolff;Wasden;;;NA;NA;1969;13;0.11;No;Female;Absolute;General;WAIS;0.110446916;0.110446916;13;0.110446916;0.110446916;0.1;0.1
