study;a1;a2;a3;a4;a5;a6;yop;n;r;students;gender;selfassess;ability;test;z;zexp;nnew;znew;znewexp;vz;newvz
Chamorro-Premuzic et al. (2004), exp 2;Chamorro-Premuzic;Furnham;Moutafi;;NA;NA;2004;83;0.49;No;Mixed;Relative;General;Baddeley Reasoning Test;0.536060337;0.536060337;83;0.536060337;0.536060337;0.0125;0.0125
Chamorro-Premuzic et al. (2004), exp 3;Chamorro-Premuzic;Furnham;Moutafi;;NA;NA;2004;83;0.4;No;Mixed;Relative;Spatial;S&M Spatial Ability Test;0.42364893;0.42364893;83;0.42364893;0.42364893;0.0125;0.0125
Chamorro-Premuzic et al. (2004), exp 4;Chamorro-Premuzic;Furnham;Moutafi;;NA;NA;2004;83;0.44;No;Mixed;Relative;Other;Alice Heim Test;0.472230804;0.472230804;83;0.472230804;0.472230804;0.0125;0.0125
Chamorro-Premuzic et al. (2005);Chamorro-Premuzic;Moutafi;Furnham;;NA;NA;2005;182;0.22;Yes;Mixed;Relative;General;Standard Progressive Matrices;0.223656109;0.223656109;182;0.223656109;0.223656109;0.005586592;0.005586592
Chamorro-Premuzic et al. (2009);Chamorro-Premuzic;Arteche;Furnham;Trickot;NA;NA;2009;149;0.44;No;Mixed;Reference group;General;Cognitive Ability Test;0.472230804;0.472230804;149;0.472230804;0.472230804;0.006849315;0.006849315
Cogan et al. (1915), exp 1;Cogan;Conklin;Hollingworth;;NA;NA;1915;25;0.7;Yes;Male;Reference group;General;Test battery;0.867300528;0.867300528;25;0.867300528;0.867300528;0.045454545;0.045454545
Cogan et al. (1915), exp 2;Cogan;Conklin;Hollingworth;;NA;NA;1915;25;0.53;Yes;Male;Reference group;General;Test battery;0.59014516;0.59014516;25;0.59014516;0.59014516;0.045454545;0.045454545
DeNisi & Shaw (1977), exp 1;DeNisi;Shaw;;;NA;NA;1977;114;0.29;Yes;Mixed;Absolute;Verbal;Personnel Test for Industry;0.298566264;0.298566264;114;0.298566264;0.298566264;0.009009009;0.009009009
DeNisi & Shaw (1977), exp 2;DeNisi;Shaw;;;NA;NA;1977;114;0.36;Yes;Mixed;Absolute;Verbal;SAT;0.376885901;0.376885901;114;0.376885901;0.376885901;0.009009009;0.009009009
DeNisi & Shaw (1977), exp 3;DeNisi;Shaw;;;NA;NA;1977;114;0.41;Yes;Mixed;Absolute;Numerical;Personnel Test for Industry;0.435611223;0.435611223;114;0.435611223;0.435611223;0.009009009;0.009009009
DeNisi & Shaw (1977), exp 4;DeNisi;Shaw;;;NA;NA;1977;114;0.37;Yes;Mixed;Absolute;Numerical;SAT;0.3884231;0.3884231;114;0.3884231;0.3884231;0.009009009;0.009009009
DeNisi & Shaw (1977), exp 5;DeNisi;Shaw;;;NA;NA;1977;114;0.26;Yes;Mixed;Absolute;General;Otis;0.266108407;0.266108407;114;0.266108407;0.266108407;0.009009009;0.009009009
DeNisi & Shaw (1977), exp 6;DeNisi;Shaw;;;NA;NA;1977;114;0.35;Yes;Mixed;Absolute;General;SAT;0.365443754;0.365443754;114;0.365443754;0.365443754;0.009009009;0.009009009
DeNisi & Shaw (1977), exp 7;DeNisi;Shaw;;;NA;NA;1977;114;0.21;Yes;Mixed;Absolute;Spatial;Minnesota Paper Forms Board Test;0.213171347;0.213171347;114;0.213171347;0.213171347;0.009009009;0.009009009
DeNisi & Shaw (1977), exp 8;DeNisi;Shaw;;;NA;NA;1977;114;0.36;Yes;Mixed;Absolute;Other;Bennett Mechanical Comprehension Test;0.376885901;0.376885901;114;0.376885901;0.376885901;0.009009009;0.009009009
Furnham & Chamorro-Premuzic (2004);Furnham;Chamorro-Premuzic;;;NA;NA;2004;187;0.3;Yes;Mixed;Relative;General;Wonderlic Personell Test;0.309519604;0.309519604;187;0.309519604;0.309519604;0.005434783;0.005434783
Furnham & Dissou (2007), exp 1;Furnham;Dissou;;;NA;NA;2007;101;0.53;Yes;Mixed;Relative;General;Baddeley Reasoning Test;0.59014516;0.59014516;101;0.59014516;0.59014516;0.010204082;0.010204082
Furnham & Dissou (2007), exp 2;Furnham;Dissou;;;NA;NA;2007;101;0.51;Yes;Mixed;Relative;General;Baddeley Reasoning Test;0.562729769;0.562729769;101;0.562729769;0.562729769;0.010204082;0.010204082
Furnham & Fong (2000);Furnham;Fong;;;NA;NA;2000;172;0.19;Yes;Mixed;Relative;General;Standard Progressive Matrices;0.192337169;0.192337169;172;0.192337169;0.192337169;0.00591716;0.00591716
Furnham & Rawles (1999), exp 1;Furnham;Rawles;;;NA;NA;1999;53;0.27;Yes;Male;Relative;General;S&M Spatial Ability Test;0.276863823;0.276863823;53;0.276863823;0.276863823;0.02;0.02
Furnham & Rawles (1999), exp 2;Furnham;Rawles;;;NA;NA;1999;140;0.09;Yes;Female;Relative;General;S&M Spatial Ability Test;0.090244188;0.090244188;140;0.090244188;0.090244188;0.00729927;0.00729927
Furnham (2005b);Furnham;;;;NA;NA;2005;100;0.41;Yes;Mixed;Relative;General;Wonderlic Personell Test;0.435611223;0.435611223;100;0.435611223;0.435611223;0.010309278;0.010309278
Furnham (2009), exp 1;Furnham;;;;NA;NA;2009;187;0.44;Yes;Mixed;Relative;Verbal;Multiple Intelligence Test;0.472230804;0.472230804;187;0.472230804;0.472230804;0.005434783;0.005434783
Furnham (2009), exp 2;Furnham;;;;NA;NA;2009;187;0.51;Yes;Mixed;Relative;Numerical;Multiple Intelligence Test;0.562729769;0.562729769;187;0.562729769;0.562729769;0.005434783;0.005434783
Furnham (2009), exp 3;Furnham;;;;NA;NA;2009;187;0.37;Yes;Mixed;Relative;Spatial;Multiple Intelligence Test;0.3884231;0.3884231;187;0.3884231;0.3884231;0.005434783;0.005434783
Furnham (2009), exp 4;Furnham;;;;NA;NA;2009;187;0.56;Yes;Mixed;Relative;Other;Multiple Intelligence Test;0.632833187;0.632833187;187;0.632833187;0.632833187;0.005434783;0.005434783
Furnham (2009), exp 5;Furnham;;;;NA;NA;2009;187;0.38;Yes;Mixed;Relative;Other;Multiple Intelligence Test;0.40005965;0.40005965;187;0.40005965;0.40005965;0.005434783;0.005434783
Furnham (2009), exp 6;Furnham;;;;NA;NA;2009;187;0.35;Yes;Mixed;Relative;Other;Multiple Intelligence Test;0.365443754;0.365443754;187;0.365443754;0.365443754;0.005434783;0.005434783
Furnham (2009), exp 7;Furnham;;;;NA;NA;2009;187;0.31;Yes;Mixed;Relative;Other;Multiple Intelligence Test;0.320545409;0.320545409;187;0.320545409;0.320545409;0.005434783;0.005434783
Furnham (2009), exp 8;Furnham;;;;NA;NA;2009;187;0.18;Yes;Mixed;Relative;Other;Multiple Intelligence Test;0.181982689;0.181982689;187;0.181982689;0.181982689;0.005434783;0.005434783
Furnham et al. (2001), exp 1;Furnham;Kidwai;Thomas;;NA;NA;2001;100;0.26;No;Mixed;Relative;Verbal;Verbal Aptitude Test;0.266108407;0.266108407;100;0.266108407;0.266108407;0.010309278;0.010309278
Furnham et al. (2001), exp 2;Furnham;Kidwai;Thomas;;NA;NA;2001;100;0.35;No;Mixed;Relative;Numerical;Numerical Aptitude Test;0.365443754;0.365443754;100;0.365443754;0.365443754;0.010309278;0.010309278
Furnham et al. (2001), exp 3;Furnham;Kidwai;Thomas;;NA;NA;2001;100;0.29;No;Mixed;Relative;Spatial;Spatial Aptitude Test;0.298566264;0.298566264;100;0.298566264;0.298566264;0.010309278;0.010309278
Furnham et al. (2005), Study 1 (1);Furnham;Moutafi;Chamorro-Premuzic;;NA;NA;2005;100;0.19;Yes;Mixed;Relative;General;Baddeley Reasoning Test;0.192337169;0.192337169;100;0.192337169;0.192337169;0.010309278;0.010309278
Furnham et al. (2005), Study 1 (2);Furnham;Moutafi;Chamorro-Premuzic;;NA;NA;2005;100;0.27;Yes;Mixed;Relative;General;Wonderlic Personell Test;0.276863823;0.276863823;100;0.276863823;0.276863823;0.010309278;0.010309278
