study;a1;a2;a3;a4;a5;a6;a7;yop;n;r;z;zexp;nnew;znew;znewexp;vz;newvz
Gonzalex;Gonzalex;;;;;;;2003;141;0.22;0.223656109;0.223656109;141;0.223656109;0.223656109;0.007246377;
Goodstein&Ponterotto;Goodstein;Ponterotto;;;;;;1997;126;0.37;0.3884231;0.3884231;126;0.3884231;0.3884231;0.008130081;
Gotowiec;Gotowiec;;;;;;;1999;162;0.31;0.320545409;0.320545409;162;0.320545409;0.320545409;0.006289308;
Graham;Graham;;;;;;;2001;54;0.19;0.192337169;0.192337169;54;0.192337169;0.192337169;0.019607843;
Greene;Greene;;;;;;;1997;189;-0.08;-0.080171325;-0.080171325;189;-0.080171325;-0.080171325;0.005376344;
Harrison;Harrison;;;;;;;1997;53;0.28;0.287682072;0.287682072;53;0.287682072;0.287682072;0.02;
Hazen;Hazen;;;;;;;1994;80;0.1;0.100335348;0.100335348;80;0.100335348;0.100335348;0.012987013;
Holmes;Holmes;;;;;;;2007;157;0.03;0.030009005;0.030009005;157;0.030009005;0.030009005;0.006493506;
Hovey et al.;Hovey;Kim;Seligman;;;;;2006;133;0.09;0.090244188;0.090244188;133;0.090244188;0.090244188;0.007692308;
Inoue;Inoue;;;;;;;1997;69;0;0;0;69;0;0;0.015151515;
Iwamoto;Iwamoto;;;;;;;2007;402;0.27;0.276863823;0.276863823;402;0.276863823;0.276863823;0.002506266;
Iyer;Iyer;;;;;;;2000;122;0.07;0.070114671;0.070114671;122;0.070114671;0.070114671;0.008403361;
Jo;Jo;;;;;;;1998;150;0.16;0.161386696;0.161386696;150;0.161386696;0.161386696;0.006802721;
Jones;Jones;;;;;;;1999;135;0.23;0.234189467;0.234189467;135;0.234189467;0.234189467;0.007575758;
Jones & Galliher;Jones;Galliher;;;;;;2007;181;0.16;0.161386696;0.161386696;181;0.161386696;0.161386696;0.005617978;
Joseph;Joseph;;;;;;;1994;92;0.57;0.647522845;0.647522845;92;0.647522845;0.647522845;0.011235955;
Juang et al.;Juang;Nguyen;Lin;;;;;2006;261;0.18;0.181982689;0.181982689;261;0.181982689;0.181982689;0.003875969;
Kamins;Kamins;;;;;;;2003;110;-0.05;-0.050041729;-0.050041729;110;-0.050041729;-0.050041729;0.009345794;
Kaneshiro;Kaneshiro;;;;;;;1996;339;0.05;0.050041729;0.050041729;339;0.050041729;0.050041729;0.00297619;
Kaslow et al.;Kaslow;Price;Wyckoff;Grall;Sherry;Young;Bethea;2004;200;0.24;0.244774113;0.244774113;200;0.244774113;0.244774113;0.005076142;
Kauh;Kauh;;;;;;;2005;120;0.07;0.070114671;0.070114671;120;0.070114671;0.070114671;0.008547009;
Kekwaletswe;Kekwaletswe;;;;;;;2007;94;0.11;0.110446916;0.110446916;94;0.110446916;0.110446916;0.010989011;
Kiang et al.;Kiang;Yip;Gonzales-Backen;Witkow;Fuligni;;;2006;415;0.13;0.13073985;0.13073985;415;0.13073985;0.13073985;0.002427184;
Kim;Kim;;;;;;;2006;112;0.09;0.090244188;0.090244188;112;0.090244188;0.090244188;0.009174312;
Kim & Rew;Kim;Rew;;;;;;1994;76;0.05;0.050041729;0.050041729;76;0.050041729;0.050041729;0.01369863;
Kim-Bae;Kim-Bae;;;;;;;1999;121;0.03;0.030009005;0.030009005;121;0.030009005;0.030009005;0.008474576;
Kwan;Kwan;;;;;;;1996;224;0.28;0.287682072;0.287682072;224;0.287682072;0.287682072;0.004524887;
Lamborn & Nguyen;Lamborn;Nguyen;;;;;;2004;158;0.23;0.234189467;0.234189467;158;0.146029224;0.146029224;0.006451613;
Larson;Larson;;;;;;;1995;7;0.45;0.484700279;0.484700279;7;0.484700279;0.484700279;0.25;
Laurent;Laurent;;;;;;;1997;193;0.41;0.435611223;0.435611223;193;0.467075482;0.467075482;0.005263158;
Lavish;Lavish;;;;;;;2007;151;0.19;0.192337169;0.192337169;151;0.192337169;0.192337169;0.006756757;
Lee;Lee;;;;;;;2001;217;0.33;0.342828254;0.342828254;217;0.342828254;0.342828254;0.004672897;
Lee;Lee;;;;;;;2005;84;0.36;0.376885901;0.376885901;84;0.361650109;0.361650109;0.012345679;
Lee & Yoo;Lee;Yoo;;;;;;2004;323;0.23;0.234189467;0.234189467;323;0.230672783;0.230672783;0.003125;
Lewis;Lewis;;;;;;;1998;100;-0.04;-0.040021354;-0.040021354;100;-0.040021354;-0.040021354;0.010309278;
