study;a1;a2;a3;a4;a5;a6;yop;n;g;sample;sex;pub;maleauthor;stereotype;country;femalemanager;age;leaderdomain;leaderstatus;male;d;r;z;zexp;nnew;znew;znewexp;vz;newvz
Rosenwasser & Dean (1989), exp 2;Rosenwasser;Dean;;NA;NA;NA;1989;14;2.66;9;n;1;0;1;US;35;21;2;2;54;2.841363636;0.817735724;1.149944599;1.149944599;14;1.149944599;1.149944599;0.090909091;
Rosenwasser & Dean (1989), exp 3;Rosenwasser;Dean;;NA;NA;NA;1989;14;2.31;9;n;1;0;1;US;35;21;2;2;54;2.4675;0.776859805;1.03740134;1.03740134;14.78;1.009881181;1.009881181;0.090909091;
Rosenwasser & Dean (1989), exp 4;Rosenwasser;Dean;;NA;NA;NA;1989;14;1.4;9;n;1;0;1;US;35;21;2;2;54;1.495454545;0.598834458;0.691328007;0.691328007;14;0.691328007;0.691328007;0.090909091;
Rosenwasser & Dean (1989), exp 5;Rosenwasser;Dean;;NA;NA;NA;1989;14;1.01;9;n;1;0;1;US;35;21;1;1;54;1.078863636;0.474761702;0.516199818;0.516199818;14.78;0.500969704;0.500969704;0.090909091;
Rosenwasser & Dean (1989), exp 6;Rosenwasser;Dean;;NA;NA;NA;1989;14;2.4;9;n;1;0;1;US;35;21;2;1;54;2.563636364;0.788448067;1.067316504;1.067316504;14.78;1.037459576;1.037459576;0.090909091;
Rosenwasser & Dean (1989), exp 7;Rosenwasser;Dean;;NA;NA;NA;1989;14;1.59;9;n;1;0;1;US;35;21;2;1;54;1.698409091;0.647296347;0.770631226;0.770631226;14;0.770631226;0.770631226;0.090909091;
Rosenwasser & Dean (1989), exp 8;Rosenwasser;Dean;;NA;NA;NA;1989;14;2.55;9;n;1;0;1;US;35;21;2;2;54;2.723863636;0.806052055;1.115654379;1.115654379;14;1.115654379;1.115654379;0.090909091;
Rosenwasser & Dean (1989), exp 9;Rosenwasser;Dean;;NA;NA;NA;1989;14;1.98;9;n;1;0;1;US;35;21;2;2;54;2.115;0.726584288;0.921453472;0.921453472;14.78;0.896948398;0.896948398;0.090909091;
Rustemeyer & Thrien (1989), exp 1;Rustemeyer;Thrien;;NA;NA;NA;1989;109;3.11;2;y;1;0;1;DE;19;23;3;1;64;3.132004717;0.842818696;1.230825817;1.230825817;109;1.230825817;1.230825817;0.009433962;
Rustemeyer & Thrien (1989), exp 2;Rustemeyer;Thrien;;NA;NA;NA;1989;54;1.84;2;y;1;0;1;DE;19;45;3;1;100;1.867058824;0.682394848;0.833582306;0.833582306;54;0.833582306;0.833582306;0.019607843;
Stoker (2007);Stoker;;;NA;NA;NA;2007;3229;1.07;1;y;1;0;1;NL;26;36;3;1;67;1.07024876;0.471817228;0.512405371;0.512405371;3229;0.512405371;0.512405371;0.000309981;
Sumer (2006);Sumer;;;NA;NA;NA;2006;369;1.29;1;y;1;0;2;TR;9;21;3;1;55;1.292643443;0.542814845;0.608137693;0.608137693;369;0.605846723;0.605846723;0.00273224;
van Engen (2006);van Engen;;;NA;NA;NA;2006;40;1;1;y;2;0;2;NL;26;22;3;1;28;1.02027027;0.45442161;0.490258541;0.490258541;40;0.490258541;0.490258541;0.027027027;
Vinnicombe & Cames (1998);Vinnicombe;Cames;;NA;NA;NA;1998;66;1.02;1;y;1;0;2;LU;9;43;3;1;50;1.032142857;0.458602498;0.49554015;0.49554015;66;0.49554015;0.49554015;0.015873016;
Vinnicombe & Singh (2002);Vinnicombe;Singh;;NA;NA;NA;2002;363;1.71;1;y;1;0;2;GB;33;43;3;2;33;1.7135625;0.65063306;0.776395695;0.776395695;363;0.776395695;0.776395695;0.002777778;
Willemsen (2002);Willemsen;;;NA;NA;NA;2002;139;1.19;1;y;1;0;2;NL;27;2;3;1;52;1.1965625;0.513410834;0.567350524;0.567350524;139;0.912229995;0.912229995;0.007352941;
Williams (1989), exp 1;Williams;;;NA;NA;NA;1989;54;1;1;n;2;0;1;US;35;50;1;1;43;1.014705882;0.452451721;0.487778805;0.487778805;54;0.487778805;0.487778805;0.019607843;
Williams (1989), exp 2;Williams;;;NA;NA;NA;1989;54;0.76;1;n;2;0;1;US;35;50;1;1;43;0.771176471;0.359769687;0.376621321;0.376621321;54;0.376621321;0.376621321;0.019607843;
Williams (1989), exp 3;Williams;;;NA;NA;NA;1989;54;0.28;1;n;2;0;1;US;35;50;1;1;43;0.284117647;0.140646737;0.141585303;0.141585303;54;0.141585303;0.141585303;0.019607843;
Williams (1989), exp 4;Williams;;;NA;NA;NA;1989;54;0.34;1;n;2;0;1;US;35;50;1;2;43;0.345;0.169989416;0.171655764;0.171655764;54;0.171655764;0.171655764;0.019607843;
Williams (1989), exp 5;Williams;;;NA;NA;NA;1989;54;1.2;1;n;2;0;1;US;35;50;1;1;43;1.217647059;0.520026642;0.576376272;0.576376272;54;0.576376272;0.576376272;0.019607843;
