"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"g";"n";"yop";"domain";"edu";"comparison";"pacing";"redundancy";"id";"nnew";"effest.exp";"effestnew.exp";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Atkinson et al. (2007) (1)";"Atkinson";"Clark";"Harrison";"Koenig";"Ramirez";NA;NA;1.16;48;2007;"biology";"7";"Audio";"LP";"h";1;48;1.16;1.16;1.17933333333333;1.17933333333333;0.0833312373527179;0.0833312373527179;0.0806214604863704;0.0806214604863704
"Atkinson et al. (2007) (2)";"Atkinson";"Clark";"Harrison";"Koenig";"Ramirez";NA;NA;-0.25;45;2007;"biology";"7";"Text";"LP";"h";1;45;-0.25;-0.25;-0.254464285714286;-0.254464285714286;0.0888887625628178;0.0888887625628178;0.0857972174198204;0.0857972174198204
"Baron (1994)";"Barron";"";"";"";"";NA;NA;-0.12;101;1994;"computer lit";"PS";"Audio";"LP";"m";1;101;-0.12;-0.121628173;-0.120918367346939;-0.122559000854592;0.0396039592719808;0.0396039592412712;0.0390046646215008;0.0390046645912558
"Barron & Kysilka (1993)";"Barron";"Kysilka";"";"";"";NA;NA;0.16;60;1993;"computer lit";"PS";"Text";"LP";"m";1;60;0.16;0.16;0.162105263157895;0.162105263157895;0.0666666504456111;0.0666666504456111;0.064946293299688;0.064946293299688
"Barton & Dwyer (1987) (1)";"Barron";"Dwyer";"";"";"";NA;NA;-0.84;18;1987;"physiology";"PS";"Text";"SP";"h";1;18;-0.84;-0.84;-0.882;-0.882;0.222162954083027;0.222162954083027;0.201508348374628;0.201508348374628
"Barton & Dwyer (1987) (2)";"Barron";"Dwyer";"";"";"";NA;NA;0.24;34;1987;"physiology";"PS";"Text";"SP";"h";1;34;0.24;0.24;0.245806451612903;0.245806451612903;0.117646697114343;0.117646697114343;0.112154232427934;0.112154232427934
"Chu (2006) (1)";"Chu";"";"";"";"";NA;NA;-0.15;112;2006;"computer lit";"PS";"Audio";"SP";"h";1;112;-0.15;-0.15;-0.151032110091743;-0.151032110091743;0.0357142845545569;0.0357142845545569;0.0352278300583903;0.0352278300583903
"Chu (2006) (2)";"Chu";"";"";"";"";NA;NA;0.24;112;2006;"computer lit";"PS";"Audio";"SP";"h";1;112;0.24;0.24;0.241651376146789;0.241651376146789;0.03571428274538;0.03571428274538;0.0352278282738558;0.0352278282738558
"Craig et al. (2002), exp 2 (1)";"Craig";"Gholson";"Driscoll";"";"";NA;NA;-0.58;48;2004;"meteorology";"PS";"Audio";"LP";"h";1;48;-0.58;-0.541143927;-0.589666666666667;-0.55016299245;0.0833328093282947;0.0833328771857195;0.080622981344225;0.0806230469950525
"Craig et al. (2002), exp 2 (2)";"Craig";"Gholson";"Driscoll";"";"";NA;NA;0.18;47;2004;"meteorology";"PS";"Text";"LP";"h";1;47;0.18;0.18;0.183068181818182;0.183068181818182;0.0851063280342505;0.0851063280342505;0.0822775074806948;0.0822775074806948
