study;a1;a2;a3;a4;a5;a6;yop;n;r;design;task;time;z;zexp;nnew;znew;znewexp;vz;newvz
Evans et al. (1983)a;Evans;Barston;Pollard;;;NA;1983;32;-0.08;between;nonvisual;no;-0.080171325;-0.080171325;32;-0.080171325;-0.080171325;0.034482759;
Fleck & Weisberg (2004);Fleck;Weisberg;;;;NA;2004;52;-0.05;between;visual;yes;-0.050041729;-0.050041729;52;-0.050041729;-0.050041729;0.020408163;
Fox & Charness (2010)a;Fox;Charness;;;;NA;2010;30;-0.24;between;visual;no;-0.244774113;-0.244774113;30;-0.244774113;-0.244774113;0.037037037;
Fox & Charness (2010)a;Fox;Charness;;;;NA;2010;31;0.03;between;nonvisual;no;0.030009005;0.030009005;31;0.030009005;0.030009005;0.035714286;
Fox & Charness (2010)a;Fox;Charness;;;;NA;2010;30;0.42;between;visual;no;0.447692024;0.447692024;30;0.444988787;0.444988787;0.037037037;
Gagne & Smith (1962)a;Gagne;Smith;;;;NA;1962;14;0.62;between;visual;no;0.725005088;0.725005088;14;0.725005088;0.725005088;0.090909091;
Gagne & Smith (1962)a;Gagne;Smith;;;;NA;1962;14;0.67;between;visual;no;0.810743125;0.810743125;14;0.810743125;0.810743125;0.090909091;
Gilhooly et al. (1999);Gilhooly;Phillips;Wynn;Logie;Della Sala;NA;1999;40;-0.11;between;visual;no;-0.110446916;-0.110446916;40;-0.110446916;-0.110446916;0.027027027;
Gilhooly et al. (1999);Gilhooly;Phillips;Wynn;Logie;Della Sala;NA;1999;40;-0.03;between;visual;no;-0.030009005;-0.030009005;40;-0.030009005;-0.030009005;0.027027027;
Gilhooly et al. (2007);Gilhooly;Fioratou;Anthony;Wynn;;NA;2007;104;0.05;between;visual;yes;0.050041729;0.050041729;104;0.050041729;0.050041729;0.00990099;
Gilhooly et al. (2010)a;Gilhooly;Fioratou;Henretty;;;NA;2010;80;-0.15;between;visual;yes;-0.151140436;-0.151140436;80;-0.151140436;-0.151140436;0.012987013;
Hamel & Elshout (2000);Hamel;Elshout;;;;NA;2000;68;0.08;between;visual;no;0.080171325;0.080171325;68;0.122281236;0.122281236;0.015384615;
Henry et al. (1989);Henry;LeBreck;Holzemer;;;NA;1989;27;-0.11;between;nonvisual;no;-0.110446916;-0.110446916;27;-0.110446916;-0.110446916;0.041666667;
Henry et al. (1989);Henry;LeBreck;Holzemer;;;NA;1989;13;0.14;between;nonvisual;yes;0.140925576;0.140925576;13;0.140925576;0.140925576;0.1;
Hertzum et al. (2009);Hertzum;Hansen;Anderson;;;NA;2009;8;0.18;within;visual;no;0.181982689;0.181982689;8;0.181982689;0.181982689;0.2;
Karahasanovic? et al. (2009);Karahasanovic;Hinkel;Sjoberg;Thomas;;NA;2009;16;0.12;between;nonvisual;no;0.120581028;0.120581028;16;0.892575752;0.892575752;0.076923077;
Karpf & Levine (1971);Karpf;Levine;;;;NA;1971;36;-0.08;within;visual;no;-0.080171325;-0.080171325;36;-0.080171325;-0.080171325;0.03030303;
Kellogg & Holley (1983);Kellogg;Holley;;;;NA;1983;18;-0.19;within;visual;no;-0.192337169;-0.192337169;18;-0.192337169;-0.192337169;0.066666667;
Kim (2002);Kim;;;;;NA;2002;34;-0.42;between;visual;no;-0.447692024;-0.447692024;34;-0.447692024;-0.447692024;0.032258065;
Kim (2002);Kim;;;;;NA;2002;41;0.06;between;visual;no;0.060072156;0.060072156;41;0.060072156;0.060072156;0.026315789;
Kim (2008)a;Kim;;;;;NA;2008;21;-0.22;between;visual;no;-0.223656109;-0.223656109;21;-0.223656109;-0.223656109;0.055555556;
Kim (2008)a;Kim;;;;;NA;2008;30;0.34;between;visual;no;0.354092529;0.354092529;30;0.354092529;0.354092529;0.037037037;
Knoblich & Rhenius (1995);Knoblich;Rhenius;;;;NA;1995;37;-0.13;between;nonvisual;no;-0.13073985;-0.13073985;37;-0.13073985;-0.13073985;0.029411765;
Laing & Kamhi (2002);Laing;Kamhi;;;;NA;2002;20;0.22;within;nonvisual;no;0.223656109;0.223656109;20;0.221784127;0.221784127;0.058823529;
Laing & Kamhi (2002);Laing;Kamhi;;;;NA;2002;20;0.56;within;nonvisual;no;0.632833187;0.632833187;20;0.633887387;0.633887387;0.058823529;
Leow & Morgan-Short (2004);Leow;Morgan-Short;;;;NA;2004;77;0.17;between;nonvisual;no;0.171666664;0.171666664;77;0.171666664;0.171666664;0.013513514;
McGeorge & Burton (1989);McGeorge;Burton;;;;NA;1989;35;0.33;between;nonvisual;no;0.342828254;0.342828254;35;1.027514338;1.027514338;0.03125;
Nakabayashi & Burton (2008);Nakabayashi;Burton;;;;NA;2008;40;0.09;between;visual;no;0.090244188;0.090244188;40;0.090244188;0.090244188;0.027027027;
Norris (1990);Norris;;;;;NA;1990;142;0.01;between;nonvisual;no;0.010000333;0.010000333;142;0.010000333;0.010000333;0.007194245;
Perfect & Dasgupta (1997);Perfect;Dasgupta;;;;NA;1997;40;-0.03;between;nonvisual;no;-0.030009005;-0.030009005;40;-0.030009005;-0.030009005;0.027027027;
Reber & Kotovsky (1997);Reber;Kotovsky;;;;NA;1997;32;0.24;between;visual;no;0.244774113;0.244774113;32;0.244774113;0.244774113;0.034482759;
Rehfeldt et al. (1998);Rehfeldt;Dixon;Hayes;Steele;;NA;1998;10;-0.14;between;visual;no;-0.140925576;-0.140925576;10;-0.140925576;-0.140925576;0.142857143;
Reid & Pinard (1985);Reid;Pinard;;;;NA;1985;80;0.3;between;visual;no;0.309519604;0.309519604;80;0.309519604;0.309519604;0.012987013;
Rhenius & Heydemann (1984);Rhenius;Heydemann;;;;NA;1984;21;-0.14;between;visual;no;-0.140925576;-0.140925576;21;-0.140925576;-0.140925576;0.055555556;
Robinson (2001);Robinson;;;;;NA;2001;40;0.05;between;nonvisual;no;0.050041729;0.050041729;40;0.050041729;0.050041729;0.027027027;
Robinson (2001);Robinson;;;;;NA;2001;40;0.06;between;nonvisual;no;0.060072156;0.060072156;40;0.060072156;0.060072156;0.027027027;
Robinson (2001);Robinson;;;;;NA;2001;40;0.33;between;nonvisual;no;0.342828254;0.342828254;40;0.342828254;0.342828254;0.027027027;
