"study";"nc";"nt";"n";"d";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vd.o";"vd.c";"g.o";"g.c";"vg.o";"vg.c"
"Beck-Sander et al.";NA;NA;10;0.31;0;"r";10;10;10;0.31;0.253609997;1;1;0.399923134773497;0.39994855219358;0.28;0.229067094064516;0.326264035028534;0.326284770988311
"Condelli et al.";NA;NA;49;1.14;0;"r";49;49;49;1.14;1.14;0;2;0.081630849604295;0.081630849604295;1.12171122994652;1.12171122994652;0.0790326873574598;0.0790326873574598
"Hodel and West";NA;NA;13;0.89;0;"r";13;13;13;0.89;0.89;0;2;0.307470598578849;0.307470598578849;0.827906976744186;0.827906976744186;0.26606433624995;0.26606433624995
"Lamberti";NA;NA;44;1.24;0;"r";41;41;41;1.24;1.24;0;2;0.0909058091479117;0.0975566227111307;1.2177245508982;1.216;0.0876690681932745;0.0938167829809766
"Lovell et al.";NA;NA;150;0.67;0;"r";150;150;150;0.67;0.669929317;0;3;0.0266666595729402;0.0266666595744368;0.666598984771574;0.666528660568528;0.0263966191902412;0.0263966191917226
"Nelson et al.";NA;NA;16;0.75;0;"r";16;16;16;0.75;0.75;0;0;0.249931354303322;0.249931354303322;0.709090909090909;0.709090909090909;0.223409713069812;0.223409713069812
"Valentine";NA;NA;56;0.78;0;"r";56;56;56;0.78;0.78;0;2;0.0714280765210259;0.0714280765210259;0.769116279069768;0.769116279069768;0.0694486418855811;0.0694486418855811
"Wilson ";NA;NA;5;1.4;0;"r";5;5;5;1.4;1.4;0;2;0.775674837108284;0.775674837108284;1.01818181818182;1.01818181818182;0.410274294007687;0.410274294007687
"Zlotnick et al.";NA;NA;17;1.74;0;"r";9;9;18;1.74;1.74;0;2;0.235004478095712;0.221991734507752;1.65152542372881;1.65714285714286;0.211713313216936;0.201353047172564
