study;a1;a2;a3;a4;a5;a6;a7;yop;n1;n2;d;n;scale;item;domain;age;ethnicity;r;z;zexp;nnew;znew;znewexp;vz;newvz
Orth et al. (2010);Orth;Robins;Soto;;;;;2010;809;1802;0.04;2611;State;4;1;4;2;0.018493985;0.018496093;0.018496093;2611;0.018496093;0.018496093;0.000383436;
Pekrun et al. (2004), exp1;Pekrun;Goetz;Perry;Kramer;Hochstadt;Molfenter;;2004;71;151;0.25;222;State;4;2;4;3;0.115816984;0.116339032;0.116339032;222;0.116339032;0.116339032;0.00456621;
Pekrun et al. (2004), exp2;Pekrun;Goetz;Perry;Kramer;Hochstadt;Molfenter;;2004;84;168;0.27;252;State;4;2;4;3;0.126260618;0.126938048;0.126938048;252;0.126938048;0.126938048;0.004016064;
Pekrun et al. (2004), exp3;Pekrun;Goetz;Perry;Kramer;Hochstadt;Molfenter;;2004;155;234;0.13;389;State;4;2;4;3;0.063516959;0.063602584;0.063602584;389;0.063602584;0.063602584;0.002590674;
Pekrun et al. (2006), exp1;Pekrun;Elliot;Maier;;;;;2006;72;115;0.47;187;State;3;2;3;3;0.222946476;0.226754568;0.226754568;187;0.244253373;0.244253373;0.005434783;
Pekrun et al. (2006), exp2;Pekrun;Elliot;Maier;;;;;2006;77;148;0.1;225;State;3;2;3;3;0.047392044;0.047427573;0.047427573;225;0.047427573;0.047427573;0.004504505;
Pekrun et al. (2009);Pekrun;Elliot;Maier;;;;;2009;71;147;-0.04;218;State;3;2;3;2;-0.018741962;-0.018744157;-0.018744157;218;-0.018744157;-0.018744157;0.004651163;
P?lmann (2008), exp1;Pollmann;;;;;;;2008;45;113;0.35;158;State;3;6;4;3;0.156028733;0.157313727;0.157313727;158;0.157313727;0.157313727;0.006451613;
P?lmann (2008), exp2;Pollmann;;;;;;;2008;62;60;0.13;122;State;3;6;4;3;0.064854441;0.0649456;0.0649456;122;0.0649456;0.0649456;0.008403361;
Proyer et al. (2010);Proyer;Platt;Ruch;;;;;2010;99;285;0.04;384;State;2;1;4;2;0.017494532;0.017496317;0.017496317;384;0.017496317;0.017496317;0.002624672;
Reiling (2001);Reiling;;;;;;;2001;155;174;0.06;329;State;3;6;1;1;0.029936507;0.029945455;0.029945455;329;0.029945455;0.029945455;0.003067485;
Rowles (2008);Rowles;;;;;;;2008;71;130;0.02;201;State;3;6;4;2;0.009559055;0.009559346;0.009559346;201;0.009559346;0.009559346;0.005050505;
Sawrikar & Hunt (2005);Sawrikar;Hunt;;;;;;2005;120;141;-0.26;261;State;3;6;2;3;-0.128504182;-0.129218617;-0.129218617;261;-0.129218617;-0.129218617;0.003875969;
Share-Pour (1999);Share-Pour;;;;;;;1999;70;60;0.51;130;State;3;6;1;3;0.246405292;0.25158211;0.25158211;131;0.255412812;0.255412812;0.007874016;
Sorek & Ceobanu (2009), exp1;Sorek;Ceobanu;;;;;;2009;79;71;-0.03;150;State;3;6;4;1;-0.014976971;-0.014978091;-0.014978091;150;-0.014978091;-0.014978091;0.006802721;
Sorek & Ceobanu (2009), exp10;Sorek;Ceobanu;;;;;;2009;369;497;0;866;State;3;6;4;2;0;0;0;866;0;0;0.001158749;
Sorek & Ceobanu (2009), exp11;Sorek;Ceobanu;;;;;;2009;401;348;-0.27;749;State;3;6;4;2;-0.133456994;-0.134257894;-0.134257894;749;-0.134257894;-0.134257894;0.001340483;
