"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n1";"n2";"g";"rank";"domain";"age";"n";"id";"nnew";"effest.exp";"effestnew.exp";"ncnew";"ntnew";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Fender & Crowley (2007), exp 2";"Fender";"Crowley";"";"";"";NA;NA;2007;12;12;-1.04;0;"science";"children";24;2;24;-1.04;-1.04;12;12;-1.07714285714286;-1.07714285714286;0.166638694974634;0.166638694974634;0.155344514696924;0.155344514696924
"Guthrie (1967)";"Guthrie";"";"";"";"";NA;NA;1967;18;18;-0.64;1;"problem";"adults";36;2;36;-0.64;-0.64;18;18;-0.654545454545455;-0.654545454545455;0.111109070540486;0.111109070540486;0.106225758304386;0.106225758304386
"Hendrickson & Schroeder (1941)";"Hendrickson";"Schroeder";"";"";"";NA;NA;1941;30;30;-0.32;1;"physical";"adolescents";60;2;60;-0.32;-0.32;30;30;-0.32421052631579;-0.32421052631579;0.0666666017824919;0.0666666017824919;0.0649462458923382;0.0649462458923382
"Hendrix (1947)";"Hendrix";"";"";"";"";NA;NA;1947;13;13.5;0.51;0;"math";"adults";26.5;2;40;0.51;0.612193486;27;13;0.526276595744681;0.624602813418919;0.150938903378914;0.0999991344854436;0.141746854103102;0.0960651305543247
"Hodges & Lee (1999)";"Hodges";"Lee";"";"";"";NA;NA;1999;8;8.5;0.39;0;"physical";"adults";16.5;2;16.5;0.39;0.39;8;8.5;0.411666666666667;0.411666666666667;0.24240595246032;0.24240595246032;0.217561021044719;0.217561021044719
"Howe et al. (2005), exp 2";"Howe";"McWilliam";"Cross";"";"";NA;NA;2005;36;36;0.43;0;"science";"children";72;2;72;0.43;0.43;36;36;0.434673913043478;0.434673913043478;0.0555554993101937;0.0555554993101937;0.0543671807332038;0.0543671807332038
"Howe et al. (2005), exp 3";"Howe";"McWilliam";"Cross";"";"";NA;NA;2005;36;36;0.29;0;"science";"children";72;2;72;0.29;0.29;36;36;0.293152173913043;0.293152173913043;0.0555555299728755;0.0555555299728755;0.0543672107400183;0.0543672107400183
"Jackson et al. (1992)";"Jackson";"Fletcher";"Messer";"";"";NA;NA;1992;36;24;-0.23;0;"math";"children";60;2;60;-0.23;-0.23;36;24;-0.233026315789474;-0.233026315789474;0.0666666331473848;0.0666666331473848;0.0649462764478487;0.0649462764478487
"Jimenez et al. (1996)";"Jimenez";"Mendez";"Cleeremans";"";"";NA;NA;1996;6;6;0;1;"verbal";"adults";12;2;12;0;0;6;6;0;0;0.333333333333333;0.333333333333333;0.284023668639053;0.284023668639053
"Kalyuyga et al. (2001) (1), exp 1";"Kalyuga";"Chandler";"Sweller";"";"";NA;NA;2001;9;8;-0.78;0;"math";"adults";17;2;17;-0.78;-0.78;9;8;-0.821785714285714;-0.821785714285714;0.23522944924974;0.23522944924974;0.211915987603328;0.211915987603328
"Kalyuyga et al. (2001) (1), exp 2";"Kalyuga";"Chandler";"Sweller";"";"";NA;NA;2001;9;8;-0.28;0;"math";"adults";17;2;17;-0.28;-0.28;9;8;-0.295;-0.295;0.235285782314184;0.235285782314184;0.211966737528665;0.211966737528665
"Kalyuyga et al. (2001) (2), exp 1";"Kalyuga";"Chandler";"Tuovinen";"Sweller";"";NA;NA;2001;12;12;-0.53;1;"computer";"adults";24;2;24;-0.53;-0.53;12;12;-0.548928571428571;-0.548928571428571;0.166659401296267;0.166659401296267;0.155363817617448;0.155363817617448
"Kalyuyga et al. (2001) (2), exp 2";"Kalyuga";"Chandler";"Tuovinen";"Sweller";"";NA;NA;2001;12;12;0.7;1;"computer";"adults";24;2;24;0.7;0.7;12;12;0.725;0.725;0.16665399341648;0.16665399341648;0.15535877626459;0.15535877626459
"Kamii & Dominick (1997)";"Kamii";"Dominick";"";"";"";NA;NA;1997;16.29;16.71;0.21;0;"math";"children";33;2;33;0.21;0.21;16.29;16.71;0.21525;0.21525;0.121211808662175;0.121211808662175;0.115371144473219;0.115371144473219
"Kelemen (2003)";"Kelemen";"";"";"";"";NA;NA;2003;12;11;-0.82;1;"science";"children";23;2;23;-0.82;-0.82;12;11;-0.85075;-0.85075;0.173892354888309;0.173892354888309;0.161549001492985;0.161549001492985
"Kersh (1958)";"Kersh";"";"";"";"";NA;NA;1958;16;16;-0.18;1;"math";"adults";32;2;32;-0.18;-0.18;16;16;-0.184655172413793;-0.184655172413793;0.124999739857012;0.124999739857012;0.118776675341851;0.118776675341851
"Kersh (1962)";"Kersh";"";"";"";"";NA;NA;1962;10;10;0.5;1;"math";"adolescents";20;2;20;0.5;0.5;10;10;0.522058823529412;0.522058823529412;0.199986373657688;0.199986373657688;0.183443164410464;0.183443164410464
"King (1991)";"King";"";"";"";"";NA;NA;1991;8;7.5;-0.58;1;"problem";"children";15.5;2;15.5;-0.58;-0.58;8;7.5;-0.6148;-0.6148;0.258012138871171;0.258012138871171;0.229629885075802;0.229629885075802
"Kittell (1957)";"Kittell";"";"";"";"";NA;NA;1957;45;43.5;-0.78;1;"verbal";"children";88.5;2;88.5;-0.78;-0.78;45;43.5;-0.786842105263158;-0.786842105263158;0.0451976593725172;0.0451976593725172;0.0444150307149515;0.0444150307149515
"Klahr & Nigam (2004)";"Klahr";"Nigam";"";"";"";NA;NA;2004;52;52;-1.14;1;"science";"children";104;2;104;-1.14;-1.205005894;52;52;-1.14846534653465;-1.21395395756931;0.0384614482646819;0.0384614482646819;0.0378965387051435;0.0378965387051435
"Kuhn & Dean (2005)";"Kuhn";"Dean";"";"";"";NA;NA;2005;12;12;-1.18;1;"science";"children";24;2;24;-1.18;-1.221036565;12;12;-1.22214285714286;-1.26464501375;0.166630658987517;0.166630658987517;0.155337023360539;0.155337023360539
"Lawson & Wollman (1976)";"Lawson";"Wollman";"";"";"";NA;NA;1976;16;16;-0.82;0;"science";"adolescents";32;2;32;-0.82;-0.82;16;16;-0.841206896551724;-0.841206896551724;0.124994601452015;0.124994601452015;0.118771792750393;0.118771792750393
"Lazonder & van der Meij (1993)";"Lazonder";"Vandermeij";"";"";"";NA;NA;1993;30;34;0.67;0;"computer";"adults";64;2;64;0.67;0.67;30;34;0.678237704918033;0.678237704918033;0.0624997806526327;0.0624997806526327;0.0609907872762239;0.0609907872762239
"Lazonder & van der Meij (1994)";"Lazonder";"Vandermeij";"";"";"";NA;NA;1994;21;21;0.05;0;"computer";"adults";42;2;42;0.05;0.05;21;21;0.0509615384615385;0.0509615384615385;0.0952380885611494;0.0952380885611494;0.0916781030506756;0.0916781030506756
