study;a1;a2;a3;a4;a5;a6;a7;yop;n;g;sample;sex;pub;maleauthor;stereotype;country;femalemanager;age;leaderdomain;leaderstatus;male;id;d;vd;vg;nnew;effest.exp;effestnew.exp
Rosenwasser & Dean (1989), exp 5;Rosenwasser;Dean;;NA;NA;NA;NA;1989;14;1.01;9;n;1;0;1;US;35;21;1;1;54;19;1.078863636;0.285472103;0.250191938;14.78;1.01;0.981865377
Rosenwasser & Dean (1989), exp 6;Rosenwasser;Dean;;NA;NA;NA;NA;1989;14;2.4;9;n;1;0;1;US;35;21;2;1;54;19;2.563636364;0.284352166;0.249210409;14.78;2.4;2.319978373
Rosenwasser & Dean (1989), exp 7;Rosenwasser;Dean;;NA;NA;NA;NA;1989;14;1.59;9;n;1;0;1;US;35;21;2;1;54;19;1.698409091;0.285114839;0.249878827;14;1.59;1.59
Rosenwasser & Dean (1989), exp 8;Rosenwasser;Dean;;NA;NA;NA;NA;1989;14;2.55;9;n;1;0;1;US;35;21;2;2;54;19;2.723863636;0.284177525;0.249057351;14;2.55;2.55
Rosenwasser & Dean (1989), exp 9;Rosenwasser;Dean;;NA;NA;NA;NA;1989;14;1.98;9;n;1;0;1;US;35;21;2;2;54;19;2.115;0.284785779;0.249590434;14.78;1.98;1.921932457
Rustemeyer & Thrien (1989), exp 1;Rustemeyer;Thrien;;NA;NA;NA;NA;1989;109;3.11;2;y;1;0;1;DE;19;23;3;1;64;19;3.132004717;0.036696692;0.036182859;109;3.11;3.11
Rustemeyer & Thrien (1989), exp 2;Rustemeyer;Thrien;;NA;NA;NA;NA;1989;54;1.84;2;y;1;0;1;DE;19;45;3;1;100;19;1.867058824;0.074070795;0.071939373;54;1.84;1.84
Stoker (2007);Stoker;;;NA;NA;NA;NA;2007;3229;1.07;1;y;1;0;1;NL;26;36;3;1;67;19;1.07024876;0.001238774;0.001238198;3229;1.07;1.07
Sumer (2006);Sumer;;;NA;NA;NA;NA;2006;369;1.29;1;y;1;0;2;TR;9;21;3;1;55;19;1.292643443;0.010840108;0.010795817;369;1.29;1.284558887
van Engen (2006);van Engen;;;NA;NA;NA;NA;2006;40;1;1;y;2;0;2;NL;26;22;3;1;28;19;1.02027027;0.099996747;0.096062837;40;1;1
Vinnicombe & Cames (1998);Vinnicombe;Cames;;NA;NA;NA;NA;1998;66;1.02;1;y;1;0;2;LU;9;43;3;1;50;19;1.032142857;0.060605611;0.059187985;66;1.02;1.02
Vinnicombe & Singh (2002);Vinnicombe;Singh;;NA;NA;NA;NA;2002;363;1.71;1;y;1;0;2;GB;33;43;3;2;33;19;1.7135625;0.011019282;0.010973512;363;1.71;1.71
Willemsen (2002);Willemsen;;;NA;NA;NA;NA;2002;139;1.19;1;y;1;0;2;NL;27;2;3;1;52;19;1.1965625;0.028776948;0.028462161;139;1.19;2.076788268
Williams (1989), exp 1;Williams;;;NA;NA;NA;NA;1989;54;1;1;n;2;0;1;US;35;50;1;1;43;19;1.014705882;0.074073105;0.071941617;54;1;1
Williams (1989), exp 2;Williams;;;NA;NA;NA;NA;1989;54;0.76;1;n;2;0;1;US;35;50;1;1;43;19;0.771176471;0.074073515;0.071942015;54;0.76;0.76
Williams (1989), exp 3;Williams;;;NA;NA;NA;NA;1989;54;0.28;1;n;2;0;1;US;35;50;1;1;43;19;0.284117647;0.074073998;0.071942484;54;0.28;0.28
Williams (1989), exp 4;Williams;;;NA;NA;NA;NA;1989;54;0.34;1;n;2;0;1;US;35;50;1;2;43;19;0.345;0.074073962;0.071942449;54;0.34;0.34
Williams (1989), exp 5;Williams;;;NA;NA;NA;NA;1989;54;1.2;1;n;2;0;1;US;35;50;1;1;43;19;1.217647059;0.074072679;0.071941203;54;1.2;1.2
