study;a1;a2;a3;a4;a5;g;n;yop;domain;edu;comparison;pacing;redundancy;d;r;z;vz;znew;zexp;nnew;znewexp
Moreno & Mayer (2002b), exp 1 (1);Moreno;Mayer;;;;0.8;38;2002;meteorology;PS;Audio;SP;h;0.817142857;0.378220859;0.397981881;0.028571429;0.397981881;0.397981881;38;0.397981881
Moreno & Mayer (2002b), exp 1 (2);Moreno;Mayer;;;;0.69;36;2002;meteorology;PS;Audio;SP;h;0.705681818;0.332736036;0.345901781;0.03030303;0.345901781;0.345901781;36;0.345901781
Moreno & Mayer (2002b), exp 2 (1);Moreno;Mayer;;;;-0.85;34;2002;meteorology;PS;Audio;SP;h;-0.870564516;-0.399111371;-0.422591486;0.032258065;-0.422591486;-0.422591486;34;-0.422591486
Moreno & Mayer (2002b), exp 2 (2);Moreno;Mayer;;;;0.35;35;2002;meteorology;PS;Audio;SP;h;0.358203125;0.17629632;0.178157608;0.03125;0.178157608;0.178157608;35;0.178157608
Moreno & Mayer (2002b), exp 3 (1);Moreno;Mayer;;;;1.43;35;2002;meteorology;PS;Audio;SP;h;1.463515625;0.590536535;0.6784895;0.03125;0.6784895;0.6784895;35;0.6784895
Moreno & Mayer (2002b), exp 3 (2);Moreno;Mayer;;;;1.27;36;2002;meteorology;PS;Audio;SP;h;1.298863636;0.544653325;0.610747864;0.03030303;0.610747864;0.610747864;36;0.843519806
Neuman & Koskinen (1992);Neuman;Koskinen;;;;0.26;69;1992;science;7 to 8;Captioned text;SP;h;0.262954545;0.13035542;0.131101397;0.015151515;0.131101397;0.131101397;69;0.131101397
Olson & Wise (1992);Olson;Wise;;;;0.75;90;1992;reading lit;2 to 6;Text;LP;l;0.756465517;0.35377295;0.369749919;0.011494253;0.369749919;0.369749919;90;0.368598574
Rehaag & Szabo (1995);Rehaag;Szabo;;;;-0.01;82;1995;mathematics;10;Text;LP;h;-0.010094937;-0.005047404;-0.005047447;0.012658228;-0.005047447;-0.005047447;82;-0.004765051
Reitsma (1988);Reitsma;;;;;0.25;37;1988;reading;1 to 2;Guided reading;SP;h;0.255514706;0.126727321;0.12741234;0.029411765;0.12741234;0.12741234;37;0.144795459
Ritzhaupt et al. (2008);Ritzhaupt;Gomes;Barron;;;1.85;183;2008;computer lit;PS;Audio;SP;l;1.857708333;0.680562333;0.83016079;0.005555556;0.83016079;0.83016079;183;0.830684383
Rockwell & Singleton (2007);Rockwell;Singleton;;;;-0.19;132;2007;history;PS;Text;LP;h;-0.191104651;-0.095119082;-0.095407517;0.007751938;-0.095407517;-0.095407517;132;-0.095407517
Severin (1967) (1);Severin;;;;;0.41;62;1967;nature;7;Audio;SP;h;0.415211864;0.203271616;0.206142825;0.016949153;0.206142825;0.206142825;62;0.206142825
Severin (1967) (2);Severin;;;;;0.07;67;1967;nature;7;Text;SP;h;0.070820313;0.035387977;0.03540276;0.015625;0.03540276;0.03540276;67;0.03540276
