"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"domain";"criterion";"id";"nnew";"effest.exp";"effestnew.exp";"vr";"vr.o";"vr.c"
"Temp";"Temp";"";"";"";"";NA;NA;1971;100;0.27;"Educ";"Grades";7;100;0.27;0.27;0.00868196373737374;0.00868196373737374;0.00868196373737374
"Temp";"Temp";"";"";"";"";NA;NA;1971;100;0.39;"Educ";"Grades";7;100;0.39;0.39;0.00726196373737374;0.00726196373737374;0.00726196373737374
"Temp";"Temp";"";"";"";"";NA;NA;1971;102;0.25;"Educ";"Grades";7;102;0.25;0.25;0.00870204207920792;0.00870204207920792;0.00870204207920792
"Temp";"Temp";"";"";"";"";NA;NA;1971;104;0.15;"Educ";"Grades";7;104;0.15;0.15;0.00927675970873787;0.00927675970873787;0.00927675970873787
"Temp";"Temp";"";"";"";"";NA;NA;1971;104;0.3;"Educ";"Grades";7;104;0.3;0.3;0.00803980582524272;0.00803980582524272;0.00803980582524272
"Temp";"Temp";"";"";"";"";NA;NA;1971;140;0.51;"Educ";"Grades";7;140;0.51;0.51;0.00393850366906475;0.00393850366906475;0.00393850366906475
"Tracey & Sedlacek";"Tracey";"Sedlacek";"";"";"";NA;NA;1985;89;0.4;"Educ";"Grades";7;89;0.4;0.4;0.00801818181818182;0.00801818181818182;0.00801818181818182
"Tracey & Sedlacek";"Tracey";"Sedlacek";"";"";"";NA;NA;1985;190;0.33;"Educ";"Grades";7;190;0.33;0.33;0.00420137148148148;0.00420137148148148;0.00420137148148148
"US dep.";"U.S. Department of Labor";"";"";"";"";NA;NA;1985;30;0.41;"Employ";"Subjective";7;30;0.41;0.41;0.0238640555172414;0.0238640555172414;0.0238640555172414
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;24;0.1;"Military";"Grades";7;24;0.1;0.1;0.0426130434782609;0.0426130434782609;0.0426130434782609
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;28;0.17;"Military";"Grades";7;28;0.17;0.17;0.03492723;0.03492723;0.03492723
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;36;0.03;"Military";"Grades";7;36;0.03;0.03;0.0285200231428571;0.0285200231428571;0.0285200231428571
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;42;0.12;"Military";"Grades";7;42;0.12;0.12;0.0236928624390244;0.0236928624390244;0.0236928624390244
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;43;-0.02;"Military";"Grades";7;43;-0.02;-0.02;0.02379048;0.02379048;0.02379048
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;43;0.28;"Military";"Grades";7;43;0.28;0.28;0.0202225371428571;0.0202225371428571;0.0202225371428571
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;48;0.09;"Military";"Grades";7;48;0.09;0.09;0.0209333108510638;0.0209333108510638;0.0209333108510638
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;52;0.23;"Military";"Grades";7;52;0.23;0.23;0.0175882041176471;0.0175882041176471;0.0175882041176471
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;53;0.37;"Military";"Grades";7;53;0.37;0.37;0.0143258001923077;0.0143258001923077;0.0143258001923077
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;55;0.27;"Military";"Grades";7;55;0.27;0.27;0.0159169335185185;0.0159169335185185;0.0159169335185185
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;63;0.13;"Military";"Grades";7;63;0.13;0.13;0.0155884775806452;0.0155884775806452;0.0155884775806452
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;66;-0.05;"Military";"Grades";7;66;-0.05;-0.05;0.0153077884615385;0.0153077884615385;0.0153077884615385
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;68;0.45;"Military";"Grades";7;68;0.45;0.45;0.00949263059701493;0.00949263059701493;0.00949263059701493
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;69;0.18;"Military";"Grades";7;69;0.18;0.18;0.0137683788235294;0.0137683788235294;0.0137683788235294
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;75;0.19;"Military";"Grades";7;75;0.19;0.19;0.0125554487837838;0.0125554487837838;0.0125554487837838
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;100;0.24;"Military";"Grades";7;100;0.24;0.24;0.00897088646464646;0.00897088646464646;0.00897088646464646
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;136;0.02;"Military";"Grades";7;136;0.02;0.02;0.00740148266666667;0.00740148266666667;0.00740148266666667
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;154;0.18;"Military";"Grades";7;154;0.18;0.18;0.00611927947712418;0.00611927947712418;0.00611927947712418
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;160;-0.02;"Military";"Grades";7;160;-0.02;-0.02;0.00628427773584906;0.00628427773584906;0.00628427773584906
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;162;0.08;"Military";"Grades";7;162;0.08;0.08;0.00613193142857143;0.00613193142857143;0.00613193142857143
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;180;0.26;"Military";"Grades";7;180;0.26;0.26;0.00485681430167598;0.00485681430167598;0.00485681430167598
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;181;0.3;"Military";"Grades";7;181;0.3;0.3;0.00460055555555556;0.00460055555555556;0.00460055555555556
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;188;0.12;"Military";"Grades";7;188;0.12;0.12;0.00519469176470588;0.00519469176470588;0.00519469176470588
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;195;0.16;"Military";"Grades";7;195;0.16;0.16;0.00489409979381443;0.00489409979381443;0.00489409979381443
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;230;0.24;"Military";"Grades";7;230;0.24;0.24;0.00387824349344978;0.00387824349344978;0.00387824349344978
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;244;0.21;"Military";"Grades";7;244;0.21;0.21;0.00376026670781893;0.00376026670781893;0.00376026670781893
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;256;0.32;"Military";"Grades";7;256;0.32;0.32;0.003159552;0.003159552;0.003159552
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;265;0.05;"Military";"Grades";7;265;0.05;0.05;0.00376896306818182;0.00376896306818182;0.00376896306818182
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;297;0.24;"Military";"Grades";7;297;0.24;0.24;0.00300039783783784;0.00300039783783784;0.00300039783783784
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;360;0.13;"Military";"Grades";7;360;0.13;0.13;0.0026921604735376;0.0026921604735376;0.0026921604735376
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;363;0.18;"Military";"Grades";7;363;0.18;0.18;0.0025863253038674;0.0025863253038674;0.0025863253038674
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;400;0.1;"Military";"Grades";7;400;0.1;0.1;0.00245639097744361;0.00245639097744361;0.00245639097744361
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;404;0.21;"Military";"Grades";7;404;0.21;0.21;0.00226735684863524;0.00226735684863524;0.00226735684863524
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;470;0.24;"Military";"Grades";7;470;0.24;0.24;0.0018936412793177;0.0018936412793177;0.0018936412793177
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;587;0.11;"Military";"Grades";7;587;0.11;0.11;0.00166543755972696;0.00166543755972696;0.00166543755972696
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;1041;0.19;"Military";"Grades";7;1041;0.19;0.19;0.000893368471153846;0.000893368471153846;0.000893368471153846
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;1073;0.14;"Military";"Grades";7;1073;0.14;0.14;0.000896627014925373;0.000896627014925373;0.000896627014925373
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;1078;0.2;"Military";"Grades";7;1078;0.2;0.2;0.000855710306406685;0.000855710306406685;0.000855710306406685
"Valentine";"Valentine";"";"";"";"";NA;NA;1977;1222;0.13;"Military";"Grades";7;1222;0.13;0.13;0.000791552506142506;0.000791552506142506;0.000791552506142506
"Wightman";"Wightman";"";"";"";"";NA;NA;2000;64;0.31;"Educ";"Grades";7;64;0.31;0.31;0.0129688128571429;0.0129688128571429;0.0129688128571429
"Wightman";"Wightman";"";"";"";"";NA;NA;2000;89;0.15;"Educ";"Grades";7;89;0.15;0.15;0.0108580255681818;0.0108580255681818;0.0108580255681818
"Wightman";"Wightman";"";"";"";"";NA;NA;2000;231;0.22;"Educ";"Grades";7;231;0.22;0.22;0.00393714156521739;0.00393714156521739;0.00393714156521739
"Wightman";"Wightman";"";"";"";"";NA;NA;2000;237;0.32;"Educ";"Grades";7;237;0.32;0.32;0.00341392271186441;0.00341392271186441;0.00341392271186441
"Wightman";"Wightman";"";"";"";"";NA;NA;2000;325;0.28;"Educ";"Grades";7;325;0.28;0.28;0.00262144;0.00262144;0.00262144
"Wightman";"Wightman";"";"";"";"";NA;NA;2000;400;0.19;"Educ";"Grades";7;400;0.19;0.19;0.00232857947368421;0.00232857947368421;0.00232857947368421
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;30;0.17;"Educ";"Grades";7;30;0.17;0.17;0.0325184555172414;0.0325184555172414;0.0325184555172414
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;31;0.5;"Educ";"Grades";7;31;0.5;0.5;0.01875;0.01875;0.01875
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;32;0.58;"Educ";"Grades";7;32;0.58;0.58;0.0142053212903226;0.0142053212903226;0.0142053212903226
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;32;0.71;"Educ";"Grades";7;32;0.71;0.71;0.00793280032258064;0.00793280032258064;0.00793280032258064
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;33;0.57;"Educ";"Grades";7;33;0.57;0.57;0.0142425003125;0.0142425003125;0.0142425003125
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;34;0.23;"Educ";"Grades";7;34;0.23;0.23;0.02718177;0.02718177;0.02718177
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;35;0.1;"Educ";"Grades";7;35;0.1;0.1;0.0288264705882353;0.0288264705882353;0.0288264705882353
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;35;0.43;"Educ";"Grades";7;35;0.43;0.43;0.0195408238235294;0.0195408238235294;0.0195408238235294
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;36;0.12;"Educ";"Grades";7;36;0.12;0.12;0.027754496;0.027754496;0.027754496
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;36;0.2;"Educ";"Grades";7;36;0.2;0.2;0.0263314285714286;0.0263314285714286;0.0263314285714286
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;37;-0.07;"Educ";"Grades";7;37;-0.07;-0.07;0.0275062225;0.0275062225;0.0275062225
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;38;0.32;"Educ";"Grades";7;38;0.32;0.32;0.0217752908108108;0.0217752908108108;0.0217752908108108
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;38;0.32;"Educ";"Grades";7;38;0.32;0.32;0.0217752908108108;0.0217752908108108;0.0217752908108108
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;38;0.56;"Educ";"Grades";7;38;0.56;0.56;0.0127336475675676;0.0127336475675676;0.0127336475675676
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;38;0.65;"Educ";"Grades";7;38;0.65;0.65;0.00901368243243243;0.00901368243243243;0.00901368243243243
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;39;0.18;"Educ";"Grades";7;39;0.18;0.18;0.0246381515789474;0.0246381515789474;0.0246381515789474
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;39;0.47;"Educ";"Grades";7;39;0.47;0.47;0.0159736002631579;0.0159736002631579;0.0159736002631579
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;40;0.06;"Educ";"Grades";7;40;0.06;0.06;0.0254567425641026;0.0254567425641026;0.0254567425641026
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;40;0.38;"Educ";"Grades";7;40;0.38;0.38;0.0187705476923077;0.0187705476923077;0.0187705476923077
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;41;0.27;"Educ";"Grades";7;41;0.27;0.27;0.02148786025;0.02148786025;0.02148786025
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;41;0.46;"Educ";"Grades";7;41;0.46;0.46;0.015539364;0.015539364;0.015539364
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;41;0.51;"Educ";"Grades";7;41;0.51;0.51;0.01368630025;0.01368630025;0.01368630025
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;42;0.33;"Educ";"Grades";7;42;0.33;0.33;0.019367297804878;0.019367297804878;0.019367297804878
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;42;0.35;"Educ";"Grades";7;42;0.35;0.35;0.0187806402439024;0.0187806402439024;0.0187806402439024
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;43;0.15;"Educ";"Grades";7;43;0.15;0.15;0.0227501488095238;0.0227501488095238;0.0227501488095238
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;43;0.25;"Educ";"Grades";7;43;0.25;0.25;0.0209263392857143;0.0209263392857143;0.0209263392857143
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;45;0.35;"Educ";"Grades";7;45;0.35;0.35;0.0175001420454545;0.0175001420454545;0.0175001420454545
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;46;0.26;"Educ";"Grades";7;46;0.26;0.26;0.019319328;0.019319328;0.019319328
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;46;0.3;"Educ";"Grades";7;46;0.3;0.3;0.0184022222222222;0.0184022222222222;0.0184022222222222
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;46;0.4;"Educ";"Grades";7;46;0.4;0.4;0.01568;0.01568;0.01568
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;47;0.36;"Educ";"Grades";7;47;0.36;0.36;0.0164694817391304;0.0164694817391304;0.0164694817391304
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;47;0.52;"Educ";"Grades";7;47;0.52;0.52;0.0115720904347826;0.0115720904347826;0.0115720904347826
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;50;0.1;"Educ";"Grades";7;50;0.1;0.1;0.0200020408163265;0.0200020408163265;0.0200020408163265
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;51;0.13;"Educ";"Grades";7;51;0.13;0.13;0.0193297122;0.0193297122;0.0193297122
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;52;0.29;"Educ";"Grades";7;52;0.29;0.29;0.0164484864705882;0.0164484864705882;0.0164484864705882
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;52;0.36;"Educ";"Grades";7;52;0.36;0.36;0.0148548266666667;0.0148548266666667;0.0148548266666667
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;53;0.48;"Educ";"Grades";7;53;0.48;0.48;0.01139008;0.01139008;0.01139008
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;55;0.61;"Educ";"Grades";7;55;0.61;0.61;0.00730108166666667;0.00730108166666667;0.00730108166666667
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;58;0.3;"Educ";"Grades";7;58;0.3;0.3;0.0145280701754386;0.0145280701754386;0.0145280701754386
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;59;0.25;"Educ";"Grades";7;59;0.25;0.25;0.0151535560344828;0.0151535560344828;0.0151535560344828
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;60;0.34;"Educ";"Grades";7;60;0.34;0.34;0.0132570061016949;0.0132570061016949;0.0132570061016949
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;62;0.07;"Educ";"Grades";7;62;0.07;0.07;0.0162331804918033;0.0162331804918033;0.0162331804918033
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;65;0.18;"Educ";"Grades";7;65;0.18;0.18;0.0146289025;0.0146289025;0.0146289025
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;69;0.35;"Educ";"Grades";7;69;0.35;0.35;0.0113236213235294;0.0113236213235294;0.0113236213235294
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;76;0.43;"Educ";"Grades";7;76;0.43;0.43;0.0088585068;0.0088585068;0.0088585068
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;79;0.52;"Educ";"Grades";7;79;0.52;0.52;0.00682456615384615;0.00682456615384615;0.00682456615384615
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;97;0.37;"Educ";"Grades";7;97;0.37;0.37;0.0077598084375;0.0077598084375;0.0077598084375
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;98;0.27;"Educ";"Grades";7;98;0.27;0.27;0.00886097329896907;0.00886097329896907;0.00886097329896907
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;130;0.42;"Educ";"Grades";7;130;0.42;0.42;0.00525827100775194;0.00525827100775194;0.00525827100775194
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;165;0.12;"Educ";"Grades";7;165;0.12;0.12;0.0059232156097561;0.0059232156097561;0.0059232156097561
"Wightman & Muller";"Wightman";"Muller";"";"";"";NA;NA;1990;202;0.29;"Educ";"Grades";7;202;0.29;0.29;0.00417349656716418;0.00417349656716418;0.00417349656716418
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;25;0.23;"Military";"Grades";7;25;0.23;0.23;0.03737493375;0.03737493375;0.03737493375
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;25;0.33;"Military";"Grades";7;25;0.33;0.33;0.0330858004166667;0.0330858004166667;0.0330858004166667
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;26;0.02;"Military";"Grades";7;26;0.02;0.02;0.0399680064;0.0399680064;0.0399680064
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;27;0.06;"Military";"Grades";7;27;0.06;0.06;0.0381851138461538;0.0381851138461538;0.0381851138461538
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;27;0.15;"Military";"Grades";7;27;0.15;0.15;0.0367502403846154;0.0367502403846154;0.0367502403846154
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;27;0.5;"Military";"Grades";7;27;0.5;0.5;0.0216346153846154;0.0216346153846154;0.0216346153846154
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;28;0.13;"Military";"Grades";7;28;0.13;0.13;0.0357957633333333;0.0357957633333333;0.0357957633333333
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;28;0.26;"Military";"Grades";7;28;0.26;0.26;0.03219888;0.03219888;0.03219888
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;30;0.72;"Military";"Grades";7;30;0.72;0.72;0.00799788137931035;0.00799788137931035;0.00799788137931035
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;31;0.47;"Military";"Grades";7;31;0.47;0.47;0.020233227;0.020233227;0.020233227
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;36;0.31;"Military";"Grades";7;36;0.31;0.31;0.0233438631428571;0.0233438631428571;0.0233438631428571
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;36;0.59;"Military";"Grades";7;36;0.59;0.59;0.0121421031428571;0.0121421031428571;0.0121421031428571
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;37;0.5;"Military";"Grades";7;37;0.5;0.5;0.015625;0.015625;0.015625
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;39;0.22;"Military";"Grades";7;39;0.22;0.22;0.0238300673684211;0.0238300673684211;0.0238300673684211
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;47;0.13;"Military";"Grades";7;47;0.13;0.13;0.0210105567391304;0.0210105567391304;0.0210105567391304
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;49;0.16;"Military";"Grades";7;49;0.16;0.16;0.01978032;0.01978032;0.01978032
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;53;0.47;"Military";"Grades";7;53;0.47;0.47;0.0116730155769231;0.0116730155769231;0.0116730155769231
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;60;0.03;"Military";"Grades";7;60;0.03;0.03;0.0169186577966102;0.0169186577966102;0.0169186577966102
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;66;0.04;"Military";"Grades";7;66;0.04;0.04;0.015335424;0.015335424;0.015335424
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;69;0.19;"Military";"Grades";7;69;0.19;0.19;0.0136632825;0.0136632825;0.0136632825
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;81;0.23;"Military";"Grades";7;81;0.23;0.23;0.011212480125;0.011212480125;0.011212480125
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;85;0.41;"Military";"Grades";7;85;0.41;0.41;0.00823878107142857;0.00823878107142857;0.00823878107142857
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;106;0.17;"Military";"Grades";7;106;0.17;0.17;0.00898128771428571;0.00898128771428571;0.00898128771428571
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;117;0.37;"Military";"Grades";7;117;0.37;0.37;0.00642191043103448;0.00642191043103448;0.00642191043103448
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;120;0.16;"Military";"Grades";7;120;0.16;0.16;0.00797861647058824;0.00797861647058824;0.00797861647058824
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;126;0.38;"Military";"Grades";7;126;0.38;0.38;0.00585641088;0.00585641088;0.00585641088
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;129;0.35;"Military";"Grades";7;129;0.35;0.35;0.006015673828125;0.006015673828125;0.006015673828125
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;155;0.33;"Military";"Grades";7;155;0.33;0.33;0.00515622863636364;0.00515622863636364;0.00515622863636364
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;174;0.38;"Military";"Grades";7;174;0.38;0.38;0.00423151075144509;0.00423151075144509;0.00423151075144509
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;207;0.41;"Military";"Grades";7;207;0.41;0.41;0.00335950296116505;0.00335950296116505;0.00335950296116505
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;250;0.27;"Military";"Grades";7;250;0.27;0.27;0.00345186510040161;0.00345186510040161;0.00345186510040161
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;400;0.31;"Military";"Grades";7;400;0.31;0.31;0.00204770729323308;0.00204770729323308;0.00204770729323308
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;630;0.21;"Military";"Grades";7;630;0.21;0.21;0.00145269445151033;0.00145269445151033;0.00145269445151033
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";NA;NA;1984;772;0.29;"Military";"Grades";7;772;0.29;0.29;0.00108803217898833;0.00108803217898833;0.00108803217898833
"Young 1994";"Young";"Kobrin";"";"";"";NA;NA;1994;211;0.16;"Educ";"Grades";7;211;0.16;0.16;0.004521216;0.004521216;0.004521216
