"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"g";"id";"nnew";"effest.exp";"effestnew.exp";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Kiecolt-Glaser et al. (1997)";"Kiecolt-Glaser";"Glaser";"Cacioppo";"MacCallum";"";"";NA;1997;31;-0.68;31;31;0.68;0.68;0.698214285714286;0.698214285714286;0.1290280352067;0.1290280352067;0.122383945076207;0.122383945076207
"Margolin et al. (1981)";"Margolin";"Wampold";"";"";"";"";NA;1981;39;-0.66;31;39;0.66;0.66;0.67375;0.67375;0.102562532843102;0.102562532843102;0.098419023602877;0.098419023602877
"Mendolia et al. (1996)";"Mendolia";"Beach";"Tesser";"";"";"";NA;1996;53;-0.36;31;53;0.36;0.36;0.3654;0.3654;0.075471562743087;0.075471562743087;0.0732573590653372;0.0732573590653372
"Nelson et al. (1990)";"Nelson";"Beach";"";"";"";"";NA;1990;40;-1.05;31;40;1.05;1.05;1.07128378378378;1.07128378378378;0.0999964137256639;0.0999964137256639;0.096062516830268;0.096062516830268
"Newton et al. (2003)";"Newton";"Sanford";"";"";"";"";NA;2003;41;-0.87;31;41;0.87;0.87;0.887171052631579;0.887171052631579;0.0975587473830931;0.0975587473830931;0.0938188262034957;0.0938188262034957
"Noller (1982)";"Noller";"";"";"";"";"";NA;1982;48;-1.14;31;48;1.14;2.201391685;1.159;2.23808154641667;0.0833313090031089;0.0833257852356612;0.080621529806824;0.080616185662021
"OFarrell et al. (1987)";"Ofarrell";"Birchler";"";"";"";"";NA;1987;52;-0.52;31;52;0.52;0.520775816;0.527959183673469;0.528746874408163;0.0769227719401079;0.0769227710293917;0.0746209743908282;0.0746209735073637
"Pasch et al. (1998)";"Pasch";"Bradbury";"";"";"";"";NA;1998;55;-0.75;31;55;0.75;0.665915972;0.760817307692308;0.675520529288462;0.0727267666731416;0.0727268737814239;0.0706734088036387;0.0706735128878399
"Smith";" D. A. et al. (1990)";"Smith";"Oleary";"";"";"";NA;1990;91;-0.64;31;91;0.64;0.64;0.645454545454546;0.645454545454546;0.0439559953539182;0.0439559953539182;0.0432162162137027;0.0432162162137027
"Waldinger et al. (2004)";"Waldinger";"Hauser";"Schulz";"Allen";"Crowell";"";NA;2004;47;-0.71;31;47;0.71;0.71;0.722102272727273;0.722102272727273;0.0851055281253758;0.0851055281253758;0.0822767341597217;0.0822767341597217
"Wampler et al. (1990)";"Wampler";"Halverson";"";"";"";"";NA;1990;136;-0.63;31;136;0.63;0.625443962;0.633552631578947;0.628970901635338;0.0294117553194703;0.0294117554547408;0.0290828286751254;0.0290828288088831
"White (1989)";"White";"";"";"";"";"";NA;1989;56;-0.61;31;56;0.61;0.61;0.618632075471698;0.618632075471698;0.0714282601129926;0.0714282601129926;0.0694488203897964;0.0694488203897964
"Whitton et al. (2007)";"Whitton";"Olmos-Gallo";"Stanley";"Prado";"Kline";"St. Peters";NA;2007;139;-0.7;31;139;0.7;0.7;0.703860294117647;0.703860294117647;0.0287769678002236;0.0287769678002236;0.0284621810939075;0.0284621810939075
