study;a1;a2;a3;a4;a5;yop;n;r;domain;criterion;z;zexp;nnew;znew;znewexp;vz;newvz
Breland & Griswold;Breland;Griswold;;;;1981;583;0.42;Educ;Subjective;0.447692024;0.447692024;583;0.501;0.501;0.001724138;
Bridgeman et al.;Bridgeman;McCamley-Jenkins;Ervin;;;2000;2835;0.37;Educ;Grades;0.3884231;0.3884231;2835;0.383;0.383;0.000353107;
Bridgeman et al.;Bridgeman;McCamley-Jenkins;Ervin;;;2000;2974;0.36;Educ;Grades;0.376885901;0.376885901;2974;0.376885901;0.376885901;0.000336587;
Campbell et al.;Campbell;Crooks;Mahoney;Rock;;1973;38;0.3;Employ;Subjective;0.309519604;0.309519604;38;0.309519604;0.309519604;0.028571429;
Campbell et al.;Campbell;Crooks;Mahoney;Rock;;1973;99;0.24;Employ;Composite;0.244774113;0.244774113;99;0.244774113;0.244774113;0.010416667;
Campbell et al.;Campbell;Crooks;Mahoney;Rock;;1973;99;0.28;Employ;Composite;0.287682072;0.287682072;99;0.287682072;0.287682072;0.010416667;
Campbell et al.;Campbell;Crooks;Mahoney;Rock;;1973;168;0.19;Employ;Composite;0.192337169;0.192337169;168;0.192337169;0.192337169;0.006060606;
Cleary (1968);Cleary;;;;;1968;59;0.17;Educ;Grades;0.171666664;0.171666664;59;0.171666664;0.171666664;0.017857143;
Cleary (1968);Cleary;;;;;1968;83;0.29;Educ;Grades;0.298566264;0.298566264;83;0.298566264;0.298566264;0.0125;
Cleary (1968);Cleary;;;;;1968;125;0.54;Educ;Grades;0.604155603;0.604155603;125;0.605;0.605;0.008196721;
Crawford et al. (1986);Crawford;Alferink;Spencer;;;1986;176;0.39;Educ;Grades;0.411800034;0.411800034;176;0.411800034;0.411800034;0.005780347;
Davis & Kerner;Davis;Kerner;;;;1971;32;0.24;Educ;Grades;0.244774113;0.244774113;32;0.244774113;0.244774113;0.034482759;
Davis & Kerner;Davis;Kerner;;;;1971;38;0.64;Educ;Grades;0.758173745;0.758173745;38;0.757;0.757;0.028571429;
Davis & Kerner;Davis;Kerner;;;;1971;41;0.18;Educ;Grades;0.181982689;0.181982689;41;0.181982689;0.181982689;0.026315789;
Davis & Kerner;Davis;Kerner;;;;1971;43;0.48;Educ;Grades;0.522984278;0.522984278;43;0.522984278;0.522984278;0.025;
Davis & Kerner;Davis;Kerner;;;;1971;67;0.26;Educ;Grades;0.266108407;0.266108407;67;0.266108407;0.266108407;0.015625;
Davis & Kerner;Davis;Kerner;;;;1971;80;0.3;Educ;Grades;0.309519604;0.309519604;80;0.309519604;0.309519604;0.012987013;
Davis & Kerner;Davis;Kerner;;;;1971;97;0.23;Educ;Grades;0.234189467;0.234189467;97;0.234189467;0.234189467;0.010638298;
Davis & Kerner;Davis;Kerner;;;;1971;118;0.08;Educ;Grades;0.080171325;0.080171325;118;0.080171325;0.080171325;0.008695652;
Davis & Kerner;Davis;Kerner;;;;1971;187;0.31;Educ;Grades;0.320545409;0.320545409;187;0.320545409;0.320545409;0.005434783;
