"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"g";"id";"nnew";"effest.exp";"effestnew.exp";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Boone et al. (2010)";"Boone";"Declerck";"Kiyonari";"";"";"";"";2010;112;-0.13;4;322;-0.13;-0.069878623;-0.130894495412844;-0.0700429144333856;0.0357142848432005;0.0124223602447963;0.0352278303431024;0.0123641532483484
"Brickman et al. (1979), exp 1";"Brickman";"Becker";"Castle";"";"";"";"";1979;42;-0.08;4;42;-0.08;-0.08;-0.0815384615384615;-0.0815384615384615;0.0952380781451157;0.0952380781451157;0.0916780930239917;0.0916780930239917
"Brickman et al. (1979), exp 2";"Brickman";"Becker";"Castle";"";"";"";"";1979;42;0.65;4;42;0.65;0.65;0.6625;0.6625;0.0952369668475332;0.0952369668475332;0.0916770232665467;0.0916770232665467
"Brickman et al. (1979), exp 3";"Brickman";"Becker";"Castle";"";"";"";"";1979;42;1.53;4;42;1.53;1.53;1.55942307692308;1.55942307692308;0.0952318436230153;0.0952318436230153;0.0916720915473953;0.0916720915473953
"Brickman et al. (1979), exp 4";"Brickman";"Becker";"Castle";"";"";"";"";1979;42;-0.94;4;42;-0.94;-0.94;-0.958076923076923;-0.958076923076923;0.0952357353966552;0.0952357353966552;0.0916758378471184;0.0916758378471184
"Brickman et al. (1979), exp 5";"Brickman";"Becker";"Castle";"";"";"";"";1979;42;-1.53;4;42;-1.53;-1.53;-1.55942307692308;-1.55942307692308;0.0952318436230153;0.0952318436230153;0.0916720915473953;0.0916720915473953
"Brickman et al. (1979), exp 6";"Brickman";"Becker";"Castle";"";"";"";"";1979;42;1.14;4;42;1.14;1.14;1.16192307692308;1.16192307692308;0.0952346244208034;0.0952346244208034;0.0916747683993778;0.0916747683993778
"Brown & Stasser (2004)";"Brown";"Stasser";"";"";"";"";"";2004;41;-0.72;4;41;-0.72;-0.72;-0.73421052631579;-0.73421052631579;0.0975594494887161;0.0975594494887161;0.0938195013938521;0.0938195013938521
"Brown & Taylor (2000), exp 1";"Brown";"Taylor";"";"";"";"";"";2000;242;0.26;4;242;0.26;0.26;0.26081589958159;0.26081589958159;0.016528925461164;0.016528925461164;0.0164256737067249;0.0164256737067249
"Brown & Taylor (2000), exp 2";"Brown";"Taylor";"";"";"";"";"";2000;242;0.33;4;242;0.33;0.33;0.331035564853557;0.331035564853557;0.0165289253642247;0.0165289253642247;0.0164256736103911;0.0164256736103911
"Brown (2006)";"Brown";"";"";"";"";"";"";2006;61;-0.2;4;61;-0.2;-0.2;-0.202586206896552;-0.202586206896552;0.0655737467785994;0.0655737467785994;0.0639102099884352;0.0639102099884352
"Brown-Kruse & Hummels (1993)";"Brownkruse";"Hummels";"";"";"";"";"";1993;64;0.5;4;64;0.5;0.5;0.506147540983607;0.506147540983607;0.0624998778415525;0.0624998778415525;0.0609908821186164;0.0609908821186164
"Buchan et al. (2009)";"Buchan";"Grimalda";"Wilson";"Brewer";"Fatas";"Foddy";"";2009;1029;-0.04;4;1029;-0.04;-0.04;-0.0400292397660819;-0.0400292397660819;0.00388726919338021;0.00388726919338021;0.00388159227673202;0.00388159227673202
"Cadsby & Maynes (1998)";"Cadsby";"Maynes";"";"";"";"";"";1998;220;-0.23;4;220;-0.23;-0.23;-0.230794930875576;-0.230794930875576;0.0181818179999102;0.0181818179999102;0.0180567858114238;0.0180567858114238
"Cadsby et al. (2007)";"Cadsby";"Hamaguchi";"Kawagoe";"Maynes";"Song";"";"";2007;160;-0.14;4;160;-0.14;-0.14;-0.140668789808917;-0.140668789808917;0.0249999997584508;0.0249999997584508;0.024762846950698;0.024762846950698
"Caldwell (1976) ";"Caldwell";"";"";"";"";"";"";1976;130;0;4;130;0;0;0;0;0.0307692307692308;0.0307692307692308;0.030409008732468;0.030409008732468
"Campbell et al. (2005), exp 1";"Campbell";"Bush";"Brunell";"Shelton";"";"";"";2005;232;-0.36;4;232;-0.36;-0.36;-0.36117903930131;-0.36117903930131;0.0172413789501121;0.0172413789501121;0.0171289965513033;0.0171289965513033
"Campbell et al. (2005), exp 2";"Campbell";"Bush";"Brunell";"Shelton";"";"";"";2005;166;-0.32;4;166;-0.32;-0.32;-0.321472392638037;-0.321472392638037;0.0240963844533765;0.0240963844533765;0.0238761597032065;0.0238761597032065
"Carment (1974)";"Carment";"";"";"";"";"";"";1974;66;0.31;4;66;0.31;0.31;0.313690476190476;0.313690476190476;0.0606060191186228;0.0606060191186228;0.0591883835157097;0.0591883835157097
"Charness & Rustichini (2010), exp 1";"Charness";"Rustichini";"";"";"";"";"";2010;160;-0.01;4;160;-0.01;-0.01;-0.0100477707006369;-0.0100477707006369;0.0249999999987676;0.0249999999987676;0.0247628471887351;0.0247628471887351
"Charness & Rustichini (2010), exp 2";"Charness";"Rustichini";"";"";"";"";"";2010;74;-0.23;4;74;-0.23;-0.23;-0.232429577464789;-0.232429577464789;0.0540540396413398;0.0540540396413398;0.0529298962147398;0.0529298962147398
"Clark & Sefton (2001) ";"Clark";"Sefton";"";"";"";"";"";2001;120;0;4;120;0;0;0;0;0.0333333333333333;0.0333333333333333;0.032910057203132;0.032910057203132
"Clark (1983), exp 1";"Clark";"";"";"";"";"";"";1983;40;-0.96;4;40;-0.96;-0.96;-0.979459459459459;-0.979459459459459;0.0999970021497715;0.0999970021497715;0.0960630821055478;0.0960630821055478
"Clark (1983), exp 2";"Clark";"";"";"";"";"";"";1983;40;0.7;4;40;0.7;0.7;0.714189189189189;0.714189189189189;0.099998406068538;0.099998406068538;0.0960644307936168;0.0960644307936168
"Cohen et al. (2010), exp 1";"Cohen";"Wildschut";"Insko";"";"";"";"";2010;172;-0.02;4;172;-0.02;-0.02;-0.0200887573964497;-0.0200887573964497;0.0232558139497996;0.0232558139497996;0.0230507673623899;0.0230507673623899
"Cohen et al. (2010), exp 2";"Cohen";"Wildschut";"Insko";"";"";"";"";2010;130;0;4;130;0;0;0;0;0.0307692307692308;0.0307692307692308;0.030409008732468;0.030409008732468
"Conrath (1972)";"Conrath";"";"";"";"";"";"";1972;84;-0.1;4;84;-0.1;-0.1;-0.100925925925926;-0.100925925925926;0.0476190459823128;0.0476190459823128;0.0467493100191648;0.0467493100191648
"Corfman & Lehmann (1994)";"Corfman";"Lehmann";"";"";"";"";"";1994;227;-0.47;4;227;-0.47;0.471094714;-0.471573660714286;0.472672040051339;0.0176211447044326;0.0176211447013078;0.0175037359605269;0.0175037359574229
"Croson et al. (2008) ";"Croson";"Marks";"Snyder";"";"";"";"";2008;150;0;4;150;0;0;0;0;0.0266666666666667;0.0266666666666667;0.0263966262121329;0.0263966262121329
"Crowne (1966)";"Crowne";"";"";"";"";"";"";1966;34;0.8;4;34;0.8;0.8;0.819354838709677;0.819354838709677;0.117643039957505;0.117643039957505;0.112150746009461;0.112150746009461
"Dawes et al. (1977), exp 1";"Dawes";"McTavish";"Shaklee";"";"";"";"";1977;284;-0.17;4;284;-0.17;-0.17;-0.170453736654804;-0.170453736654804;0.0140845070065238;0.0140845070065238;0.0140096227421577;0.0140096227421577
"Dawes et al. (1977), exp 2";"Dawes";"McTavish";"Shaklee";"";"";"";"";1977;160;-0.3;4;160;-0.3;-0.3;-0.301433121019108;-0.301433121019108;0.0249999988908457;0.0249999988908457;0.0247628460913231;0.0247628460913231
"De Cremer & Van Dijk (2009), exp 1";"De Cremer";"Van Dijk";"";"";"";"";"";2009;148;0;4;148;0;0;0;0;0.027027027027027;0.027027027027027;0.0267495914604235;0.0267495914604235
"De Cremer & Van Dijk (2009), exp 2";"De Cremer";"Van Dijk";"";"";"";"";"";2009;114;0;4;114;0;0;0;0;0.0350877192982456;0.0350877192982456;0.0346183236569872;0.0346183236569872
"De Cremer & Van Dijk (2009), exp 3";"De Cremer";"Van Dijk";"";"";"";"";"";2009;110;0;4;110;0;0;0;0;0.0363636363636364;0.0363636363636364;0.0358591758422724;0.0358591758422724
