"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"g";"id";"nnew";"effest.exp";"effestnew.exp";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Kortenkamp & Moore (2006)";"Kortenkamp";"Moore";"";"";"";"";"";2006;112;-0.65;4;112;-0.65;-0.65;-0.65447247706422;-0.65447247706422;0.0357142639371676;0.0357142639371676;0.0352278097218249;0.0352278097218249
"Kramer & Brewer (1984), exp 1";"Kramer";"Brewer";"";"";"";"";"";1984;58;0;4;58;0;0;0;0;0.0689655172413793;0.0689655172413793;0.0671224242289762;0.0671224242289762
"Kramer & Brewer (1984), exp 2";"Kramer";"Brewer";"";"";"";"";"";1984;48;0;4;48;0;0;0;0;0.0833333333333333;0.0833333333333333;0.0806234883095942;0.0806234883095942
"Kramer & Brewer (1984), exp 3";"Kramer";"Brewer";"";"";"";"";"";1984;66;0;4;66;0;0;0;0;0.0606060606060606;0.0606060606060606;0.0591884240327147;0.0591884240327147
"Kube & Traxler (2009)";"Kube";"Traxler";"";"";"";"";"";2009;96;0;4;96;0;0;0;0;0.0416666666666667;0.0416666666666667;0.0410026666666667;0.0410026666666667
"Kuhlman & Marshello (1975)";"Kuhlman";"Marshello";"";"";"";"";"";1975;167;0;4;167;0;0;0;0;0.0239520958083832;0.0239520958083832;0.0237345154446002;0.0237345154446002
"Kummerli et al. (2007)";"Kuemmerli";"Colliard";"Fiechter";"Petitpierre";"Russier";"Keller";"";2007;30;-1.04;4;30;-1.04;-1.04;-1.06888888888889;-1.06888888888889;0.133322050105959;0.133322050105959;0.126212839252975;0.126212839252975
"Kurzban & Houser (2001)";"Kurzban";"Houser";"";"";"";"";"";2001;72;0.47;4;57;0.47;0.466197081;0.475108695652174;0.472672040458333;0.0555554883592441;0.0701752692760687;0.0543671700164923;0.0682658277213623
"Kurzban (2001)";"Kurzban";"";"";"";"";"";"";2001;57;-0.1;4;57;-0.1;-0.1;-0.101388888888889;-0.101388888888889;0.0701754308058852;0.0701754308058852;0.0682659848560159;0.0682659848560159
"Kuwabara (2005)";"Kuwabara";"";"";"";"";"";"";2005;122;0.11;4;122;0.11;0.099090936;0.110693277310924;0.0997154587058823;0.0327868848034221;0.0327868848868345;0.0323774792265557;0.0323774793089266
"Lacy (1978)";"Lacy";"";"";"";"";"";"";1978;236;-0.11;4;236;-0.11;-0.11;-0.110354077253219;-0.110354077253219;0.0169491525109664;0.0169491525109664;0.01684056238461;0.01684056238461
"Liebrand & Van Run (1985)";"Liebrand";"Vanrun";"";"";"";"";"";1985;270;-0.31;4;270;-0.31;-0.31;-0.310870786516854;-0.310870786516854;0.0148148146693377;0.0148148146693377;0.0147319347498464;0.0147319347498464
"Liebrand (1984), exp 1";"Liebrand";"";"";"";"";"";"";1984;261;-0.36;4;261;-0.36;-0.36;-0.361046511627907;-0.361046511627907;0.0153256702733578;0.0153256702733578;0.0152369545680997;0.0152369545680997
"Liebrand (1984), exp 2";"Liebrand";"";"";"";"";"";"";1984;132;-0.62;4;132;-0.62;-0.62;-0.623604651162791;-0.623604651162791;0.0303030200556511;0.0303030200556511;0.0299537086212831;0.0299537086212831
"Lindskold et al. (1977), exp 1";"Lindskold";"McElwain";"Wayner";"";"";"";"";1977;54;-0.31;4;64;-0.31;-0.536542194;-0.314558823529412;-0.543139024254098;0.0740739809808341;0.0624998593333551;0.0719424675604656;0.0609908640572805
"Lindskold et al. (1977), exp 2";"Lindskold";"McElwain";"Wayner";"";"";"";"";1977;135;0;4;135;0;0;0;0;0.0296296296296296;0.0296296296296296;0.0292957773119923;0.0292957773119923
"Lindskold et al. (1977), exp 3";"Lindskold";"McElwain";"Wayner";"";"";"";"";1977;168;0;4;168;0;0;0;0;0.0238095238095238;0.0238095238095238;0.0235945404963238;0.0235945404963238
"Lindskold et al. (1986), exp 1";"Lindskold";"Han";"Betz";"";"";"";"";1986;128;0;4;128;0;0;0;0;0.03125;0.03125;0.0308783482010521;0.0308783482010521
"Lindskold et al. (1986), exp 2";"Lindskold";"Han";"Betz";"";"";"";"";1986;57;0;4;57;0;0;0;0;0.0701754385964912;0.0701754385964912;0.0682659924346426;0.0682659924346426
"List (2006)";"List";"";"";"";"";"";"";2006;134;-0.24;4;134;-0.24;-0.24;-0.241374045801527;-0.241374045801527;0.0298507448230442;0.0298507448230442;0.0295118554797381;0.0295118554797381
"Lutzker (1961)";"Lutzker";"";"";"";"";"";"";1961;40;0;4;40;0;0;0;0;0.1;0.1;0.0960659620192097;0.0960659620192097
"Mack et al. (1971)";"Mack";"Auburn";"Knight";"";"";"";"";1971;48;0.78;4;48;0.78;0.78;0.793;0.793;0.083332385642951;0.083332385642951;0.0806225714363407;0.0806225714363407
"Mack et al. (1979)";"Mack";"Williams";"Kremer";"";"";"";"";1979;20;-1.75;4;20;-1.75;-1.75;-1.82720588235294;-1.82720588235294;0.199833205151886;0.199833205151886;0.183302666261123;0.183302666261123
"Majolo et al. (2006)";"Majolo";"Ames";"Brumpton";"Garratt";"Hall";"Wilson";"";2006;20;0;4;20;0;0;0;0;0.2;0.2;0.183455663558818;0.183455663558818
"Marwell et al. (1971), exp 1";"Marwell";"Schmitt";"Shotola";"";"";"";"";1971;32;0.75;4;32;0.75;0.75;0.769396551724138;0.769396551724138;0.124995483782455;0.124995483782455;0.118772631154348;0.118772631154348
"Marwell et al. (1971), exp 2";"Marwell";"Schmitt";"Shotola";"";"";"";"";1971;22;1.65;4;22;1.65;1.65;1.71513157894737;1.71513157894737;0.181717777069101;0.181717777069101;0.168178477864305;0.168178477864305
"Mason et al. (1991)";"Mason";"Phillips";"Redington";"";"";"";"";1991;82;-0.23;4;82;-0.23;-0.229140648;-0.232183544303797;-0.231316033898734;0.0487804782659985;0.0487804783371458;0.0478672913761612;0.0478672914459766
"McCallum et al. (1985), exp 1";"McCallum";"Harring";"Gilmore";"Drenan";"Chase";"Insko";"Thibaut";1985;180;0;4;180;0;0;0;0;0.0222222222222222;0.0222222222222222;0.0220350885522065;0.0220350885522065
"McCallum et al. (1985), exp 2";"McCallum";"Harring";"Gilmore";"Drenan";"Chase";"Insko";"Thibaut";1985;124;0;4;124;0;0;0;0;0.032258064516129;0.032258064516129;0.0318618586800565;0.0318618586800565
"McClintock & Liebrand (1988)";"McClintock";"Liebrand";"";"";"";"";"";1988;129;0;4;129;0;0;0;0;0.0310077519379845;0.0310077519379845;0.0306418819613345;0.0306418819613345
"McClintock et al. (1965)";"McClintock";"Gallo";"Harrison";"";"";"";"";1965;36;0;4;36;0;0;0;0;0.111111111111111;0.111111111111111;0.106227709190672;0.106227709190672
"McKeown et al. (1967)";"McKeown";"Gahagan";"Tedeschi";"";"";"";"";1967;60;0;4;60;0;0;0;0;0.0666666666666667;0.0666666666666667;0.0649463091021533;0.0649463091021533
"McNeel et al. (1972)";"McNeel";"McClintock";"Nuttin";"";"";"";"";1972;96;-0.21;4;96;-0.21;-0.21;-0.211693548387097;-0.211693548387097;0.041666662445619;0.041666662445619;0.0410026625128856;0.0410026625128856
"Meeker (1984)";"Meeker";"";"";"";"";"";"";1984;18;1.3;4;18;1.3;1.3;1.365;1.365;0.222080320437227;0.222080320437227;0.201433397221974;0.201433397221974
"Meier (2005)";"Meier";"";"";"";"";"";"";2005;532;0.27;4;532;0.27;0.27;0.270382797731569;0.270382797731569;0.00751879698517988;0.00751879698517988;0.007497522399325;0.007497522399325
"Meux (1973)";"Meux";"";"";"";"";"";"";1973;170;0;4;170;0;0;0;0;0.0235294117647059;0.0235294117647059;0.0233194849764773;0.0233194849764773
"Miermin (1976)";"Miermin";"";"";"";"";"";"";1976;90;0.16;4;90;0.16;0.16;0.161379310344828;0.161379310344828;0.0444444412689188;0.0444444412689188;0.0436879539567953;0.0436879539567953
"Miller & Pyke (1973)";"Miller";"Pyke";"";"";"";"";"";1973;82;-0.6;4;81;-0.6;-0.596237397;-0.605696202531646;-0.601970448894231;0.0487804228900814;0.0493826487052657;0.0478672370368998;0.0484465059769754
"Miller (1967)";"Miller";"";"";"";"";"";"";1967;120;0;4;120;0;0;0;0;0.0333333333333333;0.0333333333333333;0.032910057203132;0.032910057203132
"Millet & Dewitte (2007)";"Millet";"Dewitte";"";"";"";"";"";2007;173;0;4;173;0;0;0;0;0.023121387283237;0.023121387283237;0.0229187172254196;0.0229187172254196
"Mitani & Flores (2007)";"Mitani";"Flores";"";"";"";"";"";2007;45;-0.5;4;45;-0.5;-0.5;-0.508928571428572;-0.508928571428572;0.0888883835867587;0.0888883835867587;0.085796851624523;0.085796851624523
"Mulder & Nelissen (2010), exp 1";"Mulder";"Nelissen";"";"";"";"";"";2010;133;-0.16;4;133;-0.16;-0.16;-0.160923076923077;-0.160923076923077;0.0300751873078302;0.0300751873078302;0.0297311460504637;0.0297311460504637
"Mulder & Nelissen (2010), exp 2";"Mulder";"Nelissen";"";"";"";"";"";2010;119;-0.28;4;119;-0.28;-0.28;-0.281810344827586;-0.281810344827586;0.0336134422099266;0.0336134422099266;0.0331829650006574;0.0331829650006574
"Mulder (2008)";"Mulder";"";"";"";"";"";"";2008;114;0.08;4;114;0.08;0.08;0.0805405405405405;0.0805405405405405;0.0350877189909901;0.0350877189909901;0.0346183233538421;0.0346183233538421
"Mulder (2010)";"Mulder";"";"";"";"";"";"";2010;50;-0.11;4;50;-0.11;-0.11;-0.111755319148936;-0.111755319148936;0.0799999840137615;0.0799999840137615;0.0775066318078557;0.0775066318078557
"Mulder et al. (2006a), exp 1";"Mulder";"van Dijk";"De Cremer";"Wilke";"";"";"";2006;50;-0.13;4;50;-0.13;-0.13;-0.132074468085106;-0.132074468085106;0.0799999776721149;0.0799999776721149;0.0775066256638587;0.0775066256638587
"Mulder et al. (2006a), exp 2";"Mulder";"van Dijk";"De Cremer";"Wilke";"";"";"";2006;113;0.53;4;113;0.53;0.53;0.533613636363636;0.533613636363636;0.0353982161174188;0.0353982161174188;0.0349204054050328;0.0349204054050328
"Mulder et al. (2006a), exp 3";"Mulder";"van Dijk";"De Cremer";"Wilke";"";"";"";2006;100;0.16;4;100;0.16;0.16;0.161237113402062;0.161237113402062;0.0399999979202076;0.0399999979202076;0.0393885419829785;0.0393885419829785
"Mulder et al. (2006b), exp 1";"Mulder";"van Dijk";"De Cremer";"Wilke";"";"";"";2006;52;0.41;4;52;0.41;0.41;0.416275510204082;0.416275510204082;0.0769228873235429;0.0769228873235429;0.0746210863215885;0.0746210863215885
"Mulder et al. (2006b), exp 2";"Mulder";"van Dijk";"De Cremer";"Wilke";"";"";"";2006;78;0.2;4;78;0.2;0.2;0.202;0.202;0.0512820424631549;0.0512820424631549;0.0502715836321487;0.0502715836321487
"Mulder et al. (2009)";"Mulder";"Van Dijk";"De Cremer";"";"";"";"";2009;36;0.35;4;36;0.35;0.35;0.357954545454545;0.357954545454545;0.111110500825175;0.111110500825175;0.10622712572718;0.10622712572718
"Murnighan & Roth (1983)";"Murnighan";"Roth";"";"";"";"";"";1983;252;0;4;252;0;0;0;0;0.0158730158730159;0.0158730158730159;0.0157778255876354;0.0157778255876354
"Nowell & Tinkler (1994)";"Nowell";"Tinkler";"";"";"";"";"";1994;44;-0.75;4;44;-0.75;-0.75;-0.763719512195122;-0.763719512195122;0.0909078459900579;0.0909078459900579;0.0876710325127684;0.0876710325127684
"Oberholzer-Gee et al. (2010)";"Oberholzer-Gee";"Waldfogel";"White";"";"";"";"";2010;188;-0.15;4;188;-0.15;-0.15;-0.150608108108108;-0.150608108108108;0.0212765955994178;0.0212765955994178;0.021105126085259;0.021105126085259
"Oda (1997)";"Oda";"";"";"";"";"";"";1997;70;-0.16;4;70;-0.16;-0.16;-0.161791044776119;-0.161791044776119;0.0571428484210452;0.0571428484210452;0.0558846958101489;0.0558846958101489
"Orbell et al. (1994), exp 1";"Orbell";"Dawes";"Schwartzshea";"";"";"";"";1994;108;-0.19;4;108;-0.19;-0.19;-0.191357142857143;-0.191357142857143;0.0370370348838374;0.0370370348838374;0.0365135498075154;0.0365135498075154
"Orbell et al. (1994), exp 2";"Orbell";"Dawes";"Schwartzshea";"";"";"";"";1994;68;-0.1;4;68;-0.1;-0.1;-0.101153846153846;-0.101153846153846;0.0588235255833488;0.0588235255833488;0.0574891978983993;0.0574891978983993
"Ortmann & Tichy (1999)";"Ortmann";"Tichy";"";"";"";"";"";1999;96;-0.27;4;96;-0.27;-0.27;-0.272177419354839;-0.272177419354839;0.0416666596890169;0.0416666596890169;0.0410026598002127;0.0410026598002127
"Orwant & Orwant (1970)";"Orwant";"Orwant";"";"";"";"";"";1970;165;-0.28;4;165;-0.28;-0.28;-0.281296296296296;-0.281296296296296;0.0242424233883764;0.0242424233883764;0.0240195057361186;0.0240195057361186
"Oskamp & Kleinke (1970)";"Oskamp";"Kleinke";"";"";"";"";"";1970;100;0.57;4;100;0.57;0.57;0.574407216494845;0.574407216494845;0.0399999736045254;0.0399999736045254;0.0393885180389955;0.0393885180389955
"Oskamp & Perlaman (1965)";"Oskamp";"Perlamann";"";"";"";"";"";1965;32;1.18;4;32;1.18;1.152871963;1.21051724137931;1.18268761721552;0.124988821251333;0.124989329295389;0.118766300314804;0.11876678306608
"Patterson & Boles (1974)";"Patterson";"Boles";"";"";"";"";"";1974;72;0;4;72;0;0;0;0;0.0555555555555556;0.0555555555555556;0.0543672357754911;0.0543672357754911
"Perugini et al. (2005)";"Perugini";"Tan";"Zizzo";"";"";"";"";2005;108;-0.43;4;108;-0.43;-0.43;-0.433071428571429;-0.433071428571429;0.0370370260086017;0.0370370260086017;0.0365135410577231;0.0365135410577231
"Pilisuk et al. (1968)";"Pilisuk";"";"";"";"";"";"";1968;176;0.08;4;176;0.08;0.08;0.0803468208092486;0.0803468208092486;0.0227272726734486;0.0227272726734486;0.0225314894705208;0.0225314894705208
"Poppe & Utens (1986)";"Poppe";"Utens";"";"";"";"";"";1986;90;0;4;90;0;0;0;0;0.0444444444444444;0.0444444444444444;0.0436879570782705;0.0436879570782705
"Poppe (2005)";"Poppe";"";"";"";"";"";"";2005;91;0;4;91;0;0;0;0;0.043956043956044;0.043956043956044;0.043216263997855;0.043216263997855
"Pruitt (1967)";"Pruitt";"";"";"";"";"";"";1967;100;0.69;4;100;0.69;0.69;0.695335051546392;0.695335051546392;0.0399999613207707;0.0399999613207707;0.0393885059430152;0.0393885059430152
"Putterman et al. (2010)";"Putterman";"Tyran";"Kamei";"";"";"";"";2010;80;0;4;80;0;0;0;0;0.05;0.05;0.0490400223322753;0.0490400223322753
"Rapoport & Chammah (1965)";"Rapoport";"Chammah";"";"";"";"";"";1965;140;0.57;4;140;0.57;0.57;0.573120437956204;0.573120437956204;0.028571421731217;0.028571421731217;0.0282611461476458;0.0282611461476458
"Rapoport (1988)";"Rapoport";"";"";"";"";"";"";1988;69;0.03;4;69;0.03;0.03;0.0303409090909091;0.0303409090909091;0.0579710141678528;0.0579710141678528;0.0566756133967747;0.0566756133967747
"Reich & Purbhoo (1975)";"Reich";"Purbhoo";"";"";"";"";"";1975;57;0;4;57;0;0;0;0;0.0701754385964912;0.0701754385964912;0.0682659924346426;0.0682659924346426
"Rooney et al. (2005)";"Rooney";"Mesch";"Chin";"Steinberg";"";"";"";2005;1409;-0.2;4;1409;-0.2;-0.2;-0.200106685633001;-0.200106685633001;0.00283889283171432;0.00283889283171432;0.00283586656258758;0.00283586656258758
"Ruffle & Sosis (2007)";"Ruffle";"Sosis";"";"";"";"";"";2007;212;0.23;4;212;0.23;0.23;0.230825358851675;0.230825358851675;0.0188679243172868;0.0188679243172868;0.0187332340328736;0.0187332340328736
"Sanna et al. (2003), exp 1";"Sanna";"Parks";"Chang";"";"";"";"";2003;110;0;4;110;0;0;0;0;0.0363636363636364;0.0363636363636364;0.0358591758422724;0.0358591758422724
"Sanna et al. (2003), exp 2";"Sanna";"Parks";"Chang";"";"";"";"";2003;83;0;4;83;0;0;0;0;0.0481927710843374;0.0481927710843374;0.0473017067070148;0.0473017067070148
"Sanna et al. (2003), exp 3";"Sanna";"Parks";"Chang";"";"";"";"";2003;75;0;4;75;0;0;0;0;0.0533333333333333;0.0533333333333333;0.0522393453076841;0.0522393453076841
"Sanna et al. (2003), exp 4";"Sanna";"Parks";"Chang";"";"";"";"";2003;94;0;4;94;0;0;0;0;0.0425531914893617;0.0425531914893617;0.0418603424153009;0.0418603424153009
"Seguino et al. (1996)";"Seguino";"Stevens";"Lutz";"";"";"";"";1996;139;-0.51;4;139;-0.51;-0.51;-0.5128125;-0.5128125;0.0287769727815657;0.0287769727815657;0.0284621860207595;0.0284621860207595
"Sell & Wilson (2001)";"Sell";"Wilson";"";"";"";"";"";2001;96;0.49;4;96;0.49;0.49;0.493951612903226;0.493951612903226;0.0416666436854175;0.0416666436854175;0.0410026440516467;0.0410026440516467
"Sell (1997), exp 1";"Sell";"";"";"";"";"";"";1997;82;0.25;4;82;0.25;0.25;0.252373417721519;0.252373417721519;0.0487804765349357;0.0487804765349357;0.0478672896775045;0.0478672896775045
"Sell (1997), exp 2";"Sell";"";"";"";"";"";"";1997;83;-0.45;4;83;-0.45;-0.44170647;-0.45421875;-0.44584746815625;0.0481927363061118;0.0481927375762279;0.0473016725718242;0.0473016738184564
"Sell (1997), exp 3";"Sell";"";"";"";"";"";"";1997;79;0.47;4;79;0.47;0.466242698;0.474638157894737;0.470843777256579;0.0506328651216566;0.0506328658584996;0.0496481327449948;0.0496481334675073
"Sell et al. (1993), exp 1";"Sell";"Griffith";"Wilson";"";"";"";"";1993;22;-0.09;4;22;-0.09;-0.09;-0.0935526315789474;-0.0935526315789474;0.181817882928745;0.181817882928745;0.168271125107584;0.168271125107584
"Sell et al. (1993), exp 2";"Sell";"Griffith";"Wilson";"";"";"";"";1993;26;0.55;4;26;0.55;0.55;0.567934782608696;0.567934782608696;0.153840507368806;0.153840507368806;0.144277679154524;0.144277679154524
"Sell et al. (1993), exp 3";"Sell";"Griffith";"Wilson";"";"";"";"";1993;25;0.52;4;25;0.52;0.500185426;0.537727272727273;0.517237201886364;0.159994078414471;0.159994521084687;0.149618903905527;0.1496193178698
"Sell et al. (1993), exp 4";"Sell";"Griffith";"Wilson";"";"";"";"";1993;26;-0.15;4;26;-0.15;-0.15;-0.154891304347826;-0.154891304347826;0.153845733845967;0.153845733845967;0.14428258075039;0.14428258075039
"Sell et al. (1993), exp 5";"Sell";"Griffith";"Wilson";"";"";"";"";1993;25;0.53;4;25;0.53;0.53;0.548068181818182;0.548068181818182;0.159993848480087;0.159993848480087;0.149618688881753;0.149618688881753
"Sell et al. (1993), exp 6";"Sell";"Griffith";"Wilson";"";"";"";"";1993;26;0.7;4;26;0.7;0.7;0.722826086956522;0.722826086956522;0.153837007694221;0.153837007694221;0.144274397022037;0.144274397022037
"Sell et al. (1993), exp 7";"Sell";"Griffith";"Wilson";"";"";"";"";1993;25;0.98;4;25;0.98;0.98;1.01340909090909;1.01340909090909;0.159978969845791;0.159978969845791;0.149604775085835;0.149604775085835
"Sell et al. (1993), exp 8";"Sell";"Griffith";"Wilson";"";"";"";"";1993;30;0.63;4;30;0.63;0.63;0.6475;0.6475;0.133329192659457;0.133329192659457;0.126219600939851;0.126219600939851
"Sermat (1967)";"Sermat";"";"";"";"";"";"";1967;32;0.26;4;32;0.26;0.26;0.266724137931034;0.266724137931034;0.124999457233758;0.124999457233758;0.118776406788888;0.118776406788888
"Setzman (1974)";"Setzman";"";"";"";"";"";"";1974;40;-0.11;4;40;-0.11;-0.11;-0.11222972972973;-0.11222972972973;0.0999999606390398;0.0999999606390398;0.0960659242067246;0.0960659242067246
"Sheldon & McGregor (2000), exp 1";"Sheldon";"McGregor";"";"";"";"";"";2000;80;0;4;80;0;0;0;0;0.05;0.05;0.0490400223322753;0.0490400223322753
"Sheldon & McGregor (2000), exp 2";"Sheldon";"McGregor";"";"";"";"";"";2000;152;0;4;152;0;0;0;0;0.0263157894736842;0.0263157894736842;0.0260528523434556;0.0260528523434556
"Sheldon (1999)";"Sheldon";"";"";"";"";"";"";1999;90;0;4;90;0;0;0;0;0.0444444444444444;0.0444444444444444;0.0436879570782705;0.0436879570782705
"Shinada & Yamagishi (2007), exp 1";"Shinada";"Yamagishia";"";"";"";"";"";2007;157;0;4;157;0;0;0;0;0.0254777070063694;0.0254777070063694;0.0252313486753843;0.0252313486753843
"Shinada & Yamagishi (2007), exp 2";"Shinada";"Yamagishia";"";"";"";"";"";2007;144;0;4;144;0;0;0;0;0.0277777777777778;0.0277777777777778;0.0274846106709716;0.0274846106709716
"Shomer et al. (1966)";"Shomer";"Davis";"Kelley";"";"";"";"";1966;64;0.6;4;64;0.6;0.6;0.607377049180328;0.607377049180328;0.0624998240919869;0.0624998240919869;0.0609908296667791;0.0609908296667791
"Sibley et al. (1968)";"Sibley";"Senn";"Epanchin";"";"";"";"";1968;24;-0.84;4;24;-0.84;-0.84;-0.87;-0.87;0.166648417796957;0.166648417796957;0.155353578540802;0.155353578540802
"Simpson & Macy (2004)";"Simpson";"Macy";"";"";"";"";"";2004;114;0;4;114;0;0;0;0;0.0350877192982456;0.0350877192982456;0.0346183236569872;0.0346183236569872
"Simpson (2003), exp 1";"Simpson";"";"";"";"";"";"";2003;82;0;4;82;0;0;0;0;0.0487804878048781;0.0487804878048781;0.0478673007364698;0.0478673007364698
"Simpson (2003), exp 2";"Simpson";"";"";"";"";"";"";2003;70;0.14;4;70;0.14;0.14;0.141567164179104;0.141567164179104;0.0571428504652196;0.0571428504652196;0.0558846978093154;0.0558846978093154
"Skotko et al. (1974)";"Skotko";"";"";"";"";"";"";1974;134;0.36;4;134;0.36;0.36;0.36206106870229;0.36206106870229;0.0298507430160287;0.0298507430160287;0.0295118536932372;0.0295118536932372
"Small & Loewenstein (2005)";"Small";"Loewenstein";"";"";"";"";"";2005;140;0;4;140;0;0;0;0;0.0285714285714286;0.0285714285714286;0.028261152913575;0.028261152913575
"Smith et al. (1975)";"Smith";"Vernon";"Tarte";"";"";"";"";1975;96;-0.5;4;96;-0.5;-0.5;-0.504032258064516;-0.504032258064516;0.0416666427378364;0.0416666427378364;0.0410026431191662;0.0410026431191662
"Smith et al. (2003), exp 1";"Smith";"Jackson";"Sparks";"";"";"";"";2003;143;0.13;4;143;0.13;0.13;0.130696428571429;0.130696428571429;0.0279720276452346;0.0279720276452346;0.0276747185672591;0.0276747185672591
"Smith et al. (2003), exp 2";"Smith";"Jackson";"Sparks";"";"";"";"";2003;209;0.1;4;209;0.1;0.1;0.100364077669903;0.100364077669903;0.0191387559386273;0.0191387559386273;0.0190001534547964;0.0190001534547964
"Smith et al. (2003), exp 3";"Smith";"Jackson";"Sparks";"";"";"";"";2003;155;0.06;4;155;0.06;0.06;0.0602960526315789;0.0602960526315789;0.0258064515625136;0.0258064515625136;0.0255536551932654;0.0255536551932654
"Solow & Krikwood (2002)";"Solow";"Kirkwood";"";"";"";"";"";2002;125;0.47;4;125;0.47;0.47;0.472889344262295;0.472889344262295;0.0319999926722796;0.0319999926722796;0.0316101486842486;0.0316101486842486
"Speer (1972)";"Speer";"";"";"";"";"";"";1972;60;0.11;4;60;0.11;0.11;0.111447368421053;0.111447368421053;0.0666666589996824;0.0666666589996824;0.0649463016330183;0.0649463016330183
"Steele & Tedeschi (1967), exp 1";"Steele";"Tedeschi";"";"";"";"";"";1967;84;0.75;4;84;0.75;0.75;0.756944444444444;0.756944444444444;0.0476189555528907;0.0476189555528907;0.0467492212413869;0.0467492212413869
"Steele & Tedeschi (1967), exp 2";"Steele";"Tedeschi";"";"";"";"";"";1967;84;0;4;84;0;0;0;0;0.0476190476190476;0.0476190476190476;0.0467493116260055;0.0467493116260055
"Stockard et al. (1988)";"Stockard";"van de Kragt";"Dodge";"";"";"";"";1988;100;-0.23;4;100;-0.23;-0.23;-0.231778350515464;-0.231778350515464;0.0399999957023042;0.0399999957023042;0.0393885397989788;0.0393885397989788
"Stockard et al. (1988)";"Stockard";"van de Kragt";"Dodge";"";"";"";"";1988;594;-0.08;4;594;-0.08;-0.08;-0.0801015228426396;-0.0801015228426396;0.00673400673359442;0.00673400673359442;0.00671694782535056;0.00671694782535056
"Surbey & McNally (1997)";"Surbey";"McNally";"";"";"";"";"";1997;150;-0.36;4;150;-0.36;-0.36;-0.361836734693878;-0.361836734693878;0.0266666645977156;0.0266666645977156;0.0263966241641331;0.0263966241641331
"Swingle (1970)";"Swingle";"";"";"";"";"";"";1970;60;0;4;60;0;0;0;0;0.0666666666666667;0.0666666666666667;0.0649463091021533;0.0649463091021533
"Swope et al. (2008)";"Swope";"Cadigan";"Schmitt";"Shupp";"";"";"";2008;48;-0.07;4;48;-0.07;-0.07;-0.0711666666666667;-0.0711666666666667;0.0833333257006324;0.0833333257006324;0.0806234809250945;0.0806234809250945
"Takahashi et al. (2006)";"Takahashi";"Tamagishi";"Tanida";"Kiyonari";"Kanazawa";"";"";2006;99;-0.07;4;99;-0.07;-0.07;-0.070546875;-0.070546875;0.0404040399895593;0.0404040399895593;0.0397800487464058;0.0397800487464058
"Tedeschi et al. (1968)";"Tedeschi";"Lesnick";"Gahagan";"";"";"";"";1968;64;-0.5;4;64;-0.5;-0.5;-0.506147540983607;-0.506147540983607;0.0624998778415525;0.0624998778415525;0.0609908821186164;0.0609908821186164
"Tedeschi et al. (1969)";"Tedeschi";"Powell";"Lindskold";"Gahagan";"";"";"";1969;50;-0.68;4;50;-0.68;-0.68;-0.690851063829787;-0.690851063829787;0.0799993890924189;0.0799993890924189;0.0775060554283724;0.0775060554283724
"Tedeschi et al. (1970)";"Tedeschi";"Bonoma";"Novinson";"";"";"";"";1970;30;-0.92;4;30;-0.92;-0.92;-0.945555555555556;-0.945555555555556;0.133324503544692;0.133324503544692;0.126215161865538;0.126215161865538
"van Egeren (1979), exp 1";"Van Egeren";"";"";"";"";"";"";1979;16;0.12;4;16;0.12;0.12;0.126923076923077;0.126923076923077;0.249998033527742;0.249998033527742;0.223469316581492;0.223469316581492
"van Egeren (1979), exp 2";"Van Egeren";"";"";"";"";"";"";1979;16;0.05;4;16;0.05;0.05;0.0528846153846154;0.0528846153846154;0.249999658596347;0.249999658596347;0.223470769204801;0.223470769204801
"Van Lange (1999)";"Van Lange";"";"";"";"";"";"";1999;196;0;4;196;0;0;0;0;0.0204081632653061;0.0204081632653061;0.0202504703858651;0.0202504703858651
"Van Vugt et al. (2007), exp 1";"Van Vugt";"De Cremer";"Janssen";"";"";"";"";2007;93;-0.37;4;93;-0.37;-0.37;-0.373083333333333;-0.373083333333333;0.0430107378024557;0.0430107378024557;0.0423027542077291;0.0423027542077291
"Van Vugt et al. (2007), exp 13";"Van Vugt";"De Cremer";"Janssen";"";"";"";"";2007;90;-0.57;4;90;-0.57;-0.57;-0.574913793103448;-0.574913793103448;0.0444444041425917;0.0444444041425917;0.0436879174623942;0.0436879174623942
"Van Vugt et al. (2007), exp 2";"Van Vugt";"De Cremer";"Janssen";"";"";"";"";2007;120;0.26;4;120;0.26;0.26;0.261666666666667;0.261666666666667;0.0333333306917655;0.0333333306917655;0.0329100545951075;0.0329100545951075
"Vinacke et al. (1974)";"Vinacke";"";"";"";"";"";"";1974;144;-0.74;4;144;-0.74;-0.74;-0.743936170212766;-0.743936170212766;0.0277777674807661;0.0277777674807661;0.0274846004826347;0.0274846004826347
"Voissem & Sistrunk (1971)";"Voissem";"Sistrunk";"";"";"";"";"";1971;96;0;4;96;0;0;0;0;0.0416666666666667;0.0416666666666667;0.0410026666666667;0.0410026666666667
"Wiley (1973)";"Wiley";"";"";"";"";"";"";1973;64;-0.04;4;64;-0.04;-0.04;-0.0404918032786885;-0.0404918032786885;0.0624999992181844;0.0624999992181844;0.0609910005647335;0.0609910005647335
