study;a1;a2;a3;a4;a5;a6;yop;n;r;country;field;publication;z;zexp;nnew;znew;znewexp;vz;newvz
Mannes;Mannes;;;;;;2009;73;0.11;USA;NF;0;0.110446916;-0.110446916;73;0.110446916;-0.110446916;0.014285714;
Mannes;Mannes;;;;;;2009;60;0.16;USA;NF;0;0.161386696;-0.161386696;60;0.161386696;-0.161386696;0.01754386;
Martinez-Moreno et al.;Martinez-Moreno;;;;;;2009;66;-0.15;Spain;NF;1;-0.151140436;0.151140436;66;-0.151140436;0.151140436;0.015873016;
Mohammed & Angell;Mohammed;Angell;;;;;2004;45;0.16;USA;NF;1;0.161386696;-0.161386696;45;0.161386696;-0.161386696;0.023809524;
Mortensen;Mortensen;;;;;;2004;43;-0.52;USA;F;0;-0.576339755;0.576339755;43;-0.576339755;0.576339755;0.025;
Mortensen & Hinds;Mortensen;Hinds;;;;;2001;24;-0.43;Mixed;F;1;-0.459896681;0.459896681;24;-0.459896681;0.459896681;0.047619048;
Moye & Langfred;Moye;Langfred;;;;;2004;38;-0.4;USA;NF;1;-0.42364893;0.42364893;38;-0.42364893;0.42364893;0.028571429;
Nguyen;Nguyen;;;;;;2007;41;-0.5;USA;F;0;-0.549306144;0.549306144;41;-0.549306144;0.549306144;0.026315789;
Nibler & Harris;Nibler;Harris;;;;;2003;50;-0.2;Mixed;NF;1;-0.202732554;0.202732554;50;-0.20273;0.20273;0.021276596;
Okhuysen & Jehn;Okhuysen;Jehn;;;;;2000;21;-0.38;USA;NF;0;-0.40005965;0.40005965;21;-0.40005965;0.40005965;0.055555556;
Oliver et al.;Oliver;Poling;Woehr;;;;2008;136;-0.01;USA;NF;0;-0.010000333;0.010000333;136;-0.010000333;0.010000333;0.007518797;
Papenhausen;Papenhausen;;;;;;2006;35;-0.29;USA;NF;1;-0.298566264;0.298566264;35;-0.298566264;0.298566264;0.03125;
Parayitam & Dooley;Parayitam;Dooley;;;;;2007;109;0.15;USA;F;1;0.151140436;-0.151140436;109;0.151140436;-0.151140436;0.009433962;
Passos & Caetano;Passos;Caetano;;;;;2005;47;-0.15;Portugal;F;1;-0.151140436;0.151140436;47;-0.151140436;0.151140436;0.022727273;
Patrick;Patrick;;;;;;1997;57;-0.06;USA;F;0;-0.060072156;0.060072156;57;-0.060072156;0.060072156;0.018518519;
Pelled et al.;Pelled;Eisenhardt;Xin;;;;1999;45;-0.07;USA;F;1;-0.070114671;0.070114671;45;-0.070114671;0.070114671;0.023809524;
Peterson & Behfar, exp 1;Peterson;Behfar;;;;;2003;67;0.04;USA;NF;1;0.040021354;-0.040021354;67;0.040021354;-0.040021354;0.015625;
Polzer et al.;Polzer;Crisp;Jarvenpaa;Kim;;;2002;83;-0.13;Mixed;NF;1;-0.13073985;0.13073985;83;-0.13073985;0.13073985;0.0125;
Quigley, Tekleab & Tesluk;Quigley;Tekleab;Tesluk;;;;2007;53;-0.24;USA;NF;1;-0.244774113;0.244774113;53;-0.244774113;0.244774113;0.02;
Raver & Gelfand;Raver;Gelfand;;;;;2005;27;-0.52;USA;F;1;-0.576339755;0.576339755;27;-0.576339755;0.576339755;0.041666667;
Raver & van Knippenberg;Raver;van Knippenberg;;;;;2007;38;-0.06;Canada;NF;1;-0.060072156;0.060072156;38;-0.060072156;0.060072156;0.028571429;
Rispens, Greer, Jehn, & Thatcher;Rispers;Greerg;Jehn;Thatcher;;;2007;27;-0.59;USA;F;1;-0.677666068;0.677666068;27;-0.677666068;0.677666068;0.041666667;
Rupert & Jehn;Rupert;Jehn;;;;;2009;67;-0.26;Netherlands;F;0;-0.266108407;0.266108407;67;-0.266108407;0.266108407;0.015625;
Rupert & Jehn;Rupert;Jehn;;;;;2009;49;-0.17;Netherlands;F;0;-0.171666664;0.171666664;49;-0.171666664;0.171666664;0.02173913;
Rupert & Meurs;Rupert;Meurs;;;;;2007;17;-0.29;Netherlands;F;0;-0.298566264;0.298566264;17;-0.298566264;0.298566264;0.071428571;
Sessa;Sessa;;;;;;1993;30;-0.09;USA;F;0;-0.090244188;0.090244188;30;-0.090244188;0.090244188;0.037037037;
Stalmeijer et al.;Stalmeijer;Gijselaers;Wolfhagen;Harendza;Scherpbier;;2007;21;-0.3;Netherlands;F;1;-0.309519604;0.309519604;21;-0.247049233;0.247049233;0.055555556;
Thatcher, Jehn, Chadwick;Thatcher;Jehn;Chadwick;;;;2007;144;0.13;USA;NF;1;0.13073985;-0.13073985;144;0.13073985;-0.13073985;0.007092199;
Thatcher, Jehn, Zanutto;Thatcher;Jehn;Zanutto;;;;2003;79;-0.64;USA;NF;1;-0.758173745;0.758173745;79;-0.758173745;0.758173745;0.013157895;
Tjosvold et al.;Tjosvold;Law;Sun;;;;2006;186;-0.06;USA;F;1;-0.060072156;0.060072156;186;-0.060072156;0.060072156;0.005464481;
Van Woerkom & Van Engen;van Woerkom;van Engen;;;;;2009;84;-0.32;Netherlands;F;1;-0.331647109;0.331647109;84;-0.331647109;0.331647109;0.012345679;
Vermeul;Vermeul;;;;;;1996;16;-0.21;Netherlands;F;1;-0.213171347;0.213171347;16;-0.213171347;0.213171347;0.076923077;
Vosdosek;Vodosek;;;;;;2007;76;-0.42;USA;F;1;-0.447692024;0.447692024;76;-0.447692024;0.447692024;0.01369863;
Wakefield et al.;Wakefield;Leidner;Garrison;;;;2008;23;-0.22;USA & Korea;F;1;-0.223656109;0.223656109;23;-0.223656109;0.223656109;0.05;
Wan & Ong;Wan;Ong;;;;;2005;212;-0.06;Singapore;F;1;-0.060072156;0.060072156;212;-0.060072156;0.060072156;0.004784689;
Weingart et al.;Weingart;Todorova;Cronin;;;;2008;21;0.14;USA;NF;0;0.140925576;-0.140925576;21;0.140925576;-0.140925576;0.055555556;
Wilkens & London;Wilkens;London;;;;;2006;8;0;USA;F;1;0;0;8;0;0;0.2;
Yeh & chou;Yeh;Chou;;;;;2005;88;-0.2;Taiwan;F;1;-0.202732554;0.202732554;88;-0.202732554;0.202732554;0.011764706;
Zhang et al.;Zhang;Hempel;Han;;;;2008;101;-0.11;China;F;0;-0.110446916;0.110446916;101;-0.110446916;0.110446916;0.010204082;
Zhu et al.;Zhu;Shaw;Scott;;;;2008;103;-0.06;USA;NF;0;-0.060072156;0.060072156;127;-0.060072156;0.060072156;0.01;
