"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"z";"zexp";"nnew";"znew";"znewexp";"vz";"newvz";"vr"
"Swenson & Prelow";"Swenson";"Prelow";"";"";"";"";"";2005;133;0.18;0.181982688600706;0.181982688600706;133;0.181982689;0.181982689;0.00769230769230769;0.00769230769230769;0.00709280121212121
"Tatman";"Tatman";"";"";"";"";"";"";1996;139;0.17;0.171666663500579;0.171666663500579;139;0.171666664;0.171666664;0.00735294117647059;0.00735294117647059;0.00683358847826087
"Terrell";"Terrell";"";"";"";"";"";"";2005;115;0.21;0.21317134656486;0.21317134656486;115;0.213171347;0.213171347;0.00892857142857143;0.00892857142857143;0.00801530535087719
"To";"To";"";"";"";"";"";"";1999;106;0.32;0.331647108705132;0.331647108705132;106;0.331647109;0.331647109;0.00970873786407767;0.00970873786407767;0.00767319771428571
"Tovar-Murray";"Tovar-Murray";"";"";"";"";"";"";2004;196;0.31;0.320545409301946;0.320545409301946;196;0.320176679;0.320176679;0.00518134715025907;0.00518134715025907;0.00418992415384615
"Tremayne";"Tremayne";"";"";"";"";"";"";1997;30;0.09;0.0902441878561468;0.0902441878561468;30;0.090244188;0.090244188;0.037037037037037;0.037037037037037;0.0339264003448276
"Tsoi-Pullar";"Tsoi-Pullar";"";"";"";"";"";"";1994;209;0.34;0.354092528962243;0.354092528962243;209;0.354092529;0.354092529;0.00485436893203883;0.00485436893203883;0.00376040076923077
"Turnage";"Turnage";"";"";"";"";"";"";1998;105;0.31;0.320545409301946;0.320545409301946;105;0.320545409;0.320545409;0.00980392156862745;0.00980392156862745;0.00785610778846154
"Turnage";"Turnage";"";"";"";"";"";"";2004;105;0.36;0.37688590118819;0.37688590118819;105;0.376885901;0.376885901;0.00980392156862745;0.00980392156862745;0.00728457846153846
"Umana-Taylor";"Umana-Taylor";"";"";"";"";"";"";2004;1061;0.16;0.161386696131526;0.161386696131526;1062;0.156423518;0.156423518;0.000945179584120983;0.000944287063267233;0.000895712603773585
"Umana-Taylor & Shin";"Umana-Taylor";"Shin";"";"";"";"";"";2007;657;0.22;0.223656109021832;0.223656109021832;657;0.223656109;0.223656109;0.00152905198776758;0.00152905198776758;0.00138040024390244
"Umana-Taylor & Updegraff";"Umana-Taylor";"Updegraff";"";"";"";"";"";2007;273;0.17;0.171666663500579;0.171666663500579;273;0.171666664;0.171666664;0.0037037037037037;0.0037037037037037;0.00346704121323529
"Umana-Taylor et al.";"Umana-Taylor";"Yazedijan";"Bamaca-Gomez";"";"";"";"";2004;468;0.24;0.244774112659353;0.244774112659353;468;0.244774113;0.244774113;0.0021505376344086;0.0021505376344086;0.00190175109207709
"Umana-Taylor et al.";"Umana-Taylor";"Vargas-Chanes";"Garcia";"Gonzales-Backen";"";"";"";2008;323;0.27;0.2768638226551;0.2768638226551;323;0.276863823;0.276863823;0.003125;0.003125;0.00266929940993789
"Utsey et al.";"Utsey";"Chae";"Brown";"Kelly";"";"";"";2002;160;0.33;0.342828254415394;0.342828254415394;160;0.342828254;0.342828254;0.00636942675159236;0.00636942675159236;0.00499408308176101
"Van Buren";"Van Buren";"";"";"";"";"";"";2004;523;-0.04;-0.0400213538367682;-0.0400213538367682;523;-0.040021354;-0.040021354;0.00192307692307692;0.00192307692307692;0.00190958344827586
"Vuong";"Vuong";"";"";"";"";"";"";2004;109;-0.16;-0.161386696131526;-0.161386696131526;109;-0.161386696;-0.161386696;0.00943396226415094;0.00943396226415094;0.00879125333333333
"Walker";"Walker";"";"";"";"";"";"";2002;112;0.17;0.171666663500579;0.171666663500579;112;0.171666664;0.171666664;0.00917431192660551;0.00917431192660551;0.0084958127027027
"Walker et al.";"Walker";"Wingate";"Obasi";"Joiner";"";"";"";2008;296;0.19;0.192337169219545;0.192337169219545;296;0.192337169;0.192337169;0.00341296928327645;0.00341296928327645;0.00314950240677966
"Wallen";"Wallen";"";"";"";"";"";"";2001;145;0.09;0.0902441878561468;0.0902441878561468;145;0.090244188;0.090244188;0.00704225352112676;0.00704225352112676;0.00683240006944444
"Ware";"Ware";"";"";"";"";"";"";2006;200;-0.05;-0.0500417292784913;-0.0500417292784913;200;-0.050041729;-0.050041729;0.0050761421319797;0.0050761421319797;0.00500003140703518
"Weathersby";"Weathersby";"";"";"";"";"";"";2007;316;0.22;0.223656109021832;0.223656109021832;316;0.223656109;0.223656109;0.00319488817891374;0.00319488817891374;0.00287473828571429
"Webb-Msemaji";"Webb";"";"";"";"";"";"";1996;112;0.12;0.120581028408444;0.120581028408444;112;0.120581028;0.120581028;0.00917431192660551;0.00917431192660551;0.00875141765765766
"West";"West";"";"";"";"";"";"";2004;86;0.07;0.0701146706543252;0.0701146706543252;86;0.070114671;0.070114671;0.0120481927710843;0.0120481927710843;0.0116496942352941
"White & Burke";"White";"Burke";"";"";"";"";"";1987;73;0.23;0.234189466759367;0.234189466759367;73;0.234189467;0.234189467;0.0142857142857143;0.0142857142857143;0.01245831125
"Wong et al.";"Wong";"Eccles";"Sameroff";"";"";"";"";2003;629;0.15;0.151140435936467;0.151140435936467;629;0.151140436;0.151140436;0.00159744408945687;0.00159744408945687;0.00152150676751592
"Worrell";"Worrell";"";"";"";"";"";"";2007;227;0.21;0.21317134656486;0.21317134656486;227;0.213171347;0.213171347;0.00446428571428571;0.00446428571428571;0.00404311862831858
"Yang";"Yang";"";"";"";"";"";"";2006;137;0.12;0.120581028408444;0.120581028408444;137;0.120581028;0.120581028;0.00746268656716418;0.00746268656716418;0.00714270117647059
"Yasui et al.";"Yasui";"Dorham";"Dishion";"";"";"";"";2004;82;0.49;0.536060336610567;0.536060336610567;82;0.534745221;0.534745221;0.0126582278481013;0.0126582278481013;0.00712898777777778
"Ying & Lee";"Ying";"Lee";"";"";"";"";"";2006;197;0.22;0.223656109021832;0.223656109021832;197;0.223656109;0.223656109;0.00515463917525773;0.00515463917525773;0.00462011510204082
"Yip";"Yip";"";"";"";"";"";"";2005;62;0.01;0.0100003333533347;0.0100003333533347;62;0.010000333;0.010000333;0.0169491525423729;0.0169491525423729;0.0163901640983607
"Yip & Cross";"Yip";"Cross";"";"";"";"";"";2004;96;0.15;0.151140435936467;0.151140435936467;96;0.151140436;0.151140436;0.010752688172043;0.010752688172043;0.0100579605263158
"Yip & Fuligni";"Yip";"Fuligni";"";"";"";"";"";2002;96;0.15;0.151140435936467;0.151140435936467;96;0.151140436;0.151140436;0.010752688172043;0.010752688172043;0.0100579605263158
"Yip et al.";"Yip";"Seaton";"Sellers";"";"";"";"";2006;940;0.06;0.0600721559210317;0.0600721559210317;940;0.060072156;0.060072156;0.00106723585912487;0.00106723585912487;0.00105730879659212
"Yip et al.";"Yip";"Gee";"Takeuchi";"";"";"";"";2008;2047;0.16;0.161386696131526;0.161386696131526;2047;0.161386696;0.161386696;0.000489236790606654;0.000489236790606654;0.000464054428152493
"Yoo";"Yoo";"";"";"";"";"";"";2006;249;0.16;0.161386696131526;0.161386696131526;249;0.161386696;0.161386696;0.0040650406504065;0.0040650406504065;0.00382844903225806
"Yoo & Lee";"Yoo";"Lee";"";"";"";"";"";2005;147;0.24;0.244774112659353;0.244774112659353;147;0.248314201;0.248314201;0.00694444444444444;0.00694444444444444;0.00608299835616438
"Yoon";"Yoon";"";"";"";"";"";"";2001;241;0.15;0.151140435936467;0.151140435936467;241;0.155690317;0.155690317;0.00420168067226891;0.00420168067226891;0.00398127604166667
"Yuh";"Yuh";"";"";"";"";"";"";2005;209;0.3;0.309519604203112;0.309519604203112;209;0.309519604;0.309519604;0.00485436893203883;0.00485436893203883;0.00398125
"Zaff et al.";"Zaff";"Blount";"Philips";"Cohen";"";"";"";2002;67;0.08;0.0801713250375897;0.0801713250375897;67;0.080171325;0.080171325;0.015625;0.015625;0.0149581963636364
