"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"z";"zexp";"nnew";"znew";"znewexp";"vz";"newvz";"vr"
"Dixon";"Dixon";"";"";"";"";"";"";2002;176;0.15;0.151140435936467;0.151140435936467;176;0.151140436;0.151140436;0.00578034682080925;0.00578034682080925;0.00546003571428572
"Do";"Do";"";"";"";"";"";"";2006;262;0.34;0.354092528962243;0.354092528962243;262;0.354092529;0.354092529;0.00386100386100386;0.00386100386100386;0.00299679448275862
"Douglas";"Douglas";"";"";"";"";"";"";2004;111;-0.02;-0.0200026673068496;-0.0200026673068496;111;-0.020002667;-0.020002667;0.00925925925925926;0.00925925925925926;0.00908363781818182
"Edwards";"Edwards";"";"";"";"";"";"";2003;293;0.13;0.130739850028878;0.130739850028878;293;0.13073985;0.13073985;0.00344827586206897;0.00344827586206897;0.0033098822260274
"Elek-Fisk";"Elek-Fisk";"";"";"";"";"";"";1998;258;0.21;0.21317134656486;0.21317134656486;258;0.213171347;0.213171347;0.00392156862745098;0.00392156862745098;0.00355542727626459
"Eng";"Eng";"";"";"";"";"";"";1982;138;0.16;0.161386696131526;0.161386696131526;138;0.161386696;0.161386696;0.00740740740740741;0.00740740740740741;0.00693033109489051
"Farver et al.";"Farver";"Narang";"Bhadha";"";"";"";"";2002;180;0.05;0.0500417292784913;0.0500417292784913;180;0.050041729;0.050041729;0.00564971751412429;0.00564971751412429;0.00555869413407821
"Foster";"Foster";"";"";"";"";"";"";2004;142;0.13;0.130739850028878;0.130739850028878;142;0.13073985;0.13073985;0.00719424460431655;0.00719424460431655;0.00685450787234043
"French";"French";"";"";"";"";"";"";2002;558;0.14;0.140925576070494;0.140925576070494;558;0.140925576;0.140925576;0.0018018018018018;0.0018018018018018;0.00172564481149013
"Gamst et al.";"Gamst";"Herdina";"Mondragon";"Munguia";"Pleitez";"Stephens";"Vo";2006;355;0.09;0.0902441878561468;0.0902441878561468;355;0.090244188;0.090244188;0.00284090909090909;0.00284090909090909;0.00277928138418079
"Gamst et al.";"Gamst";"Dana";"Der-Karabetian";"Aragon";"Arellano";"Kramer";"";2002;204;0.13;0.130739850028878;0.130739850028878;204;0.125657214;0.125657214;0.00497512437810945;0.00497512437810945;0.00476101285714286
"Gaudet et al.";"Gaudet";"Clement";"Deuzeman";"";"";"";"";2005;96;0.28;0.287682072451781;0.287682072451781;96;0.287682072;0.287682072;0.010752688172043;0.010752688172043;0.00894049010526316
"Gaylord-Harden et al.";"Gaylord-Harden";"Ragsdale";"Mandara";"Richards";"Petersen";"";"";2007;227;0.17;0.171666663500579;0.171666663500579;227;0.171666664;0.171666664;0.00446428571428571;0.00446428571428571;0.00417272216814159
