"id";"study";"g";"r";"d";"z";"type"
4;"Cohen et al. (2010), exp 1";-0.02;NA;NA;NA;"r"
4;"Cohen et al. (2010), exp 2";0;NA;NA;NA;"r"
4;"Conrath (1972)";-0.1;NA;NA;NA;"r"
4;"Croson et al. (2008) ";0;NA;NA;NA;"r"
4;"Dawes et al. (1977), exp 1";-0.17;NA;NA;NA;"r"
4;"Dawes et al. (1977), exp 2";-0.3;NA;NA;NA;"r"
4;"De Cremer & Van Dijk (2009), exp 1";0;NA;NA;NA;"r"
4;"De Cremer & Van Dijk (2009), exp 2";0;NA;NA;NA;"r"
4;"De Cremer & Van Dijk (2009), exp 3";0;NA;NA;NA;"r"
4;"Declerck et al. (2010), exp 1";-0.1;NA;NA;NA;"r"
4;"Declerck et al. (2010), exp 2";-0.15;NA;NA;NA;"r"
4;"Dolbear et al. (1969)";0;NA;NA;NA;"r"
4;"Drouvelis et al. (2010)";-0.55;NA;NA;NA;"r"
4;"Eek & Biel (2003)";0;NA;NA;NA;"r"
4;"Enzle et al. (1992)";0;NA;NA;NA;"r"
4;"Evans & Crumbaugh (1966)";0.2;NA;NA;NA;"r"
4;"Farrelly et al. (2007)";0;NA;NA;NA;"r"
4;"Ferguson & Schmitt (1988)";-0.12;NA;NA;NA;"r"
4;"Ferrin et al. (2008), exp 1";0.1;NA;NA;NA;"r"
4;"Ferrin et al. (2008), exp 2";0.4;NA;NA;NA;"r"
4;"Fleishman (1988)";0;NA;NA;NA;"r"
4;"Fox & Guyer (1978)";-0.05;NA;NA;NA;"r"
4;"Gabriel & Gardner (1999), exp 1";0.25;NA;NA;NA;"r"
4;"Gabriel & Gardner (1999), exp 2";-0.35;NA;NA;NA;"r"
4;"Gallo & Sheposh (1971)?";0;NA;NA;NA;"r"
4;"Gallo et al. (1969)";0.15;NA;NA;NA;"r"
4;"Garza & Borchert (1990)";-0.46;NA;NA;NA;"r"
4;"Goehring & Kahan (1976)";0.03;NA;NA;NA;"r"
4;"Granberg & Stevens (1975)";0.3;NA;NA;NA;"r"
4;"Grant & Sermat (1969)";0;NA;NA;NA;"r"
4;"Hamburger et al. (1975)?";0;NA;NA;NA;"r"
4;"Hartman (1974)";0.09;NA;NA;NA;"r"
4;"Hartman (1980)?";0;NA;NA;NA;"r"
4;"Hemesath & Pomponio (1998)";-0.59;NA;NA;NA;"r"
4;"Holm (2000), exp 1";0.35;NA;NA;NA;"r"
4;"Holm (2000), exp 3";0;NA;NA;NA;"r"
4;"Holm (2000), exp 5";0.07;NA;NA;NA;"r"
4;"Hopthrow et al. (2007)";0;NA;NA;NA;"r"
4;"Horai & Tedeschi (1969)";0;NA;NA;NA;"r"
4;"Horai & Tedeschi (1975)";0;NA;NA;NA;"r"
4;"Huntoon (2006)";0.02;NA;NA;NA;"r"
4;"Insko et al. (1987)";0;NA;NA;NA;"r"
4;"Insko et al. (1993)";0;NA;NA;NA;"r"
4;"Insko et al. (2005), exp 1";0;NA;NA;NA;"r"
4;"Insko et al. (2005), exp 2";0;NA;NA;NA;"r"
4;"Iredale et al. (2008)";-0.26;NA;NA;NA;"r"
4;"Jackson (2001)";0;NA;NA;NA;"r"
4;"Jackson (2008)";0;NA;NA;NA;"r"
4;"Jaster & Arrow (2010)";-0.2;NA;NA;NA;"r"
4;"Kahn et al. (1971), exp 1";0;NA;NA;NA;"r"
4;"Kahn et al. (1971), exp 2";0;NA;NA;NA;"r"
4;"Kanouse & Wiest (1967)";-0.13;NA;NA;NA;"r"
4;"Kershenbaum & Komorita (1970)";0;NA;NA;NA;"r"
4;"Kiesler et al. (1996)";0;NA;NA;NA;"r"
4;"Knight (1980)";0;NA;NA;NA;"r"
4;"Komorita & Mechling (1967)";0;NA;NA;NA;"r"
4;"Komorita (1965), exp 2";-0.56;NA;NA;NA;"r"
4;"Kramer & Brewer (1984), exp 1";0;NA;NA;NA;"r"
4;"Kramer & Brewer (1984), exp 2";0;NA;NA;NA;"r"
4;"Kramer & Brewer (1984), exp 3";0;NA;NA;NA;"r"
4;"Kube & Traxler (2009)";0;NA;NA;NA;"r"
4;"Kuhlman & Marshello (1975)";0;NA;NA;NA;"r"
4;"Kurzban (2001)";-0.1;NA;NA;NA;"r"
4;"Kuwabara (2005)";0.11;NA;NA;NA;"r"
4;"Lacy (1978)";-0.11;NA;NA;NA;"r"
4;"Lindskold et al. (1977), exp 1";-0.31;NA;NA;NA;"r"
4;"Lindskold et al. (1977), exp 2";0;NA;NA;NA;"r"
4;"Lindskold et al. (1977), exp 3";0;NA;NA;NA;"r"
4;"Lindskold et al. (1986), exp 1";0;NA;NA;NA;"r"
4;"Lindskold et al. (1986), exp 2";0;NA;NA;NA;"r"
4;"List (2006)";-0.24;NA;NA;NA;"r"
4;"Lutzker (1961)";0;NA;NA;NA;"r"
4;"Majolo et al. (2006)";0;NA;NA;NA;"r"
4;"Mason et al. (1991)";-0.23;NA;NA;NA;"r"
4;"McCallum et al. (1985), exp 1";0;NA;NA;NA;"r"
4;"McCallum et al. (1985), exp 2";0;NA;NA;NA;"r"
4;"McClintock & Liebrand (1988)";0;NA;NA;NA;"r"
4;"McClintock et al. (1965)";0;NA;NA;NA;"r"
4;"McKeown et al. (1967)";0;NA;NA;NA;"r"
4;"McNeel et al. (1972)";-0.21;NA;NA;NA;"r"
4;"Meux (1973)";0;NA;NA;NA;"r"
4;"Miermin (1976)";0.16;NA;NA;NA;"r"
4;"Miller (1967)";0;NA;NA;NA;"r"
4;"Millet & Dewitte (2007)";0;NA;NA;NA;"r"
4;"Mitani & Flores (2007)";-0.5;NA;NA;NA;"r"
4;"Mulder & Nelissen (2010), exp 1";-0.16;NA;NA;NA;"r"
4;"Mulder & Nelissen (2010), exp 2";-0.28;NA;NA;NA;"r"
4;"Mulder (2008)";0.08;NA;NA;NA;"r"
4;"Mulder (2010)";-0.11;NA;NA;NA;"r"
4;"Mulder et al. (2006a), exp 1";-0.13;NA;NA;NA;"r"
4;"Mulder et al. (2006a), exp 3";0.16;NA;NA;NA;"r"
4;"Mulder et al. (2006b), exp 1";0.41;NA;NA;NA;"r"
4;"Mulder et al. (2006b), exp 2";0.2;NA;NA;NA;"r"
4;"Mulder et al. (2009)";0.35;NA;NA;NA;"r"
4;"Murnighan & Roth (1983)";0;NA;NA;NA;"r"
4;"Oberholzer-Gee et al. (2010)";-0.15;NA;NA;NA;"r"
4;"Oda (1997)";-0.16;NA;NA;NA;"r"
4;"Orbell et al. (1994), exp 1";-0.19;NA;NA;NA;"r"
4;"Orbell et al. (1994), exp 2";-0.1;NA;NA;NA;"r"
4;"Ortmann & Tichy (1999)";-0.27;NA;NA;NA;"r"
4;"Orwant & Orwant (1970)";-0.28;NA;NA;NA;"r"
4;"Patterson & Boles (1974)";0;NA;NA;NA;"r"
4;"Perugini et al. (2005)";-0.43;NA;NA;NA;"r"
4;"Pilisuk et al. (1968)";0.08;NA;NA;NA;"r"
4;"Poppe & Utens (1986)";0;NA;NA;NA;"r"
4;"Poppe (2005)";0;NA;NA;NA;"r"
4;"Putterman et al. (2010)";0;NA;NA;NA;"r"
4;"Rapoport (1988)";0.03;NA;NA;NA;"r"
4;"Reich & Purbhoo (1975)";0;NA;NA;NA;"r"
4;"Sanna et al. (2003), exp 1";0;NA;NA;NA;"r"
4;"Sanna et al. (2003), exp 2";0;NA;NA;NA;"r"
4;"Sanna et al. (2003), exp 3";0;NA;NA;NA;"r"
4;"Sanna et al. (2003), exp 4";0;NA;NA;NA;"r"
4;"Sell (1997), exp 1";0.25;NA;NA;NA;"r"
4;"Sell (1997), exp 2";-0.45;NA;NA;NA;"r"
4;"Sell et al. (1993), exp 1";-0.09;NA;NA;NA;"r"
4;"Sell et al. (1993), exp 2";0.55;NA;NA;NA;"r"
4;"Sell et al. (1993), exp 3";0.52;NA;NA;NA;"r"
4;"Sell et al. (1993), exp 4";-0.15;NA;NA;NA;"r"
4;"Sell et al. (1993), exp 5";0.53;NA;NA;NA;"r"
4;"Sell et al. (1993), exp 8";0.63;NA;NA;NA;"r"
4;"Sermat (1967)";0.26;NA;NA;NA;"r"
4;"Setzman (1974)";-0.11;NA;NA;NA;"r"
4;"Sheldon & McGregor (2000), exp 1";0;NA;NA;NA;"r"
4;"Sheldon & McGregor (2000), exp 2";0;NA;NA;NA;"r"
4;"Sheldon (1999)";0;NA;NA;NA;"r"
4;"Shinada & Yamagishi (2007), exp 1";0;NA;NA;NA;"r"
4;"Shinada & Yamagishi (2007), exp 2";0;NA;NA;NA;"r"
4;"Simpson & Macy (2004)";0;NA;NA;NA;"r"
4;"Simpson (2003), exp 1";0;NA;NA;NA;"r"
4;"Simpson (2003), exp 2";0.14;NA;NA;NA;"r"
4;"Small & Loewenstein (2005)";0;NA;NA;NA;"r"
4;"Smith et al. (2003), exp 1";0.13;NA;NA;NA;"r"
4;"Smith et al. (2003), exp 2";0.1;NA;NA;NA;"r"
4;"Smith et al. (2003), exp 3";0.06;NA;NA;NA;"r"
4;"Speer (1972)";0.11;NA;NA;NA;"r"
4;"Steele & Tedeschi (1967), exp 2";0;NA;NA;NA;"r"
4;"Stockard et al. (1988)";-0.23;NA;NA;NA;"r"
4;"Stockard et al. (1988)";-0.08;NA;NA;NA;"r"
4;"Surbey & McNally (1997)";-0.36;NA;NA;NA;"r"
4;"Swingle (1970)";0;NA;NA;NA;"r"
4;"Swope et al. (2008)";-0.07;NA;NA;NA;"r"
4;"Takahashi et al. (2006)";-0.07;NA;NA;NA;"r"
4;"Tedeschi et al. (1968)";-0.5;NA;NA;NA;"r"
4;"van Egeren (1979), exp 1";0.12;NA;NA;NA;"r"
4;"van Egeren (1979), exp 2";0.05;NA;NA;NA;"r"
4;"Van Lange (1999)";0;NA;NA;NA;"r"
4;"Van Vugt et al. (2007), exp 1";-0.37;NA;NA;NA;"r"
4;"Van Vugt et al. (2007), exp 2";0.26;NA;NA;NA;"r"
4;"Voissem & Sistrunk (1971)";0;NA;NA;NA;"r"
4;"Wiley (1973)";-0.04;NA;NA;NA;"r"
4;"Willer (2009), exp 1";0;NA;NA;NA;"r"
4;"Willer (2009), exp 2";0;NA;NA;NA;"r"
4;"Willer (2009), exp 3";0;NA;NA;NA;"r"
4;"Willer (2009), exp 4";0;NA;NA;NA;"r"
4;"Wit & Wilke (1992)";0;NA;NA;NA;"r"
4;"Wit & Wilke (1998)";0;NA;NA;NA;"r"
4;"Witt & Kerr (2002), exp 1";0;NA;NA;NA;"r"
4;"Witt & Kerr (2002), exp 2";0;NA;NA;NA;"r"
4;"Witt & Kerr (2002), exp 3";0;NA;NA;NA;"r"
4;"Yamagashi & Mifune (2009)";-0.21;NA;NA;NA;"r"
4;"Yamagashi (1986)";0;NA;NA;NA;"r"
4;"Yamagashi et al. (2005)";0;NA;NA;NA;"r"
4;"Andersen et al. (2008), exp 2";-0.61;NA;NA;NA;"o"
4;"Anthony & Horne (2003)";-0.43;NA;NA;NA;"o"
4;"Becker & Miles (1978)";-0.87;NA;NA;NA;"o"
4;"Bedell & Sistrunk (1973)";0.7;NA;NA;NA;"o"
4;"Belianin & Novarese (2005)";-1.9;NA;NA;NA;"o"
4;"Belot et al. (2006)";-0.43;NA;NA;NA;"o"
4;"Bixenstine & O?eilly (1966)";0.54;NA;NA;NA;"o"
4;"Brickman et al. (1979), exp 2";0.65;NA;NA;NA;"o"
4;"Brickman et al. (1979), exp 3";1.53;NA;NA;NA;"o"
4;"Brickman et al. (1979), exp 4";-0.94;NA;NA;NA;"o"
4;"Brickman et al. (1979), exp 5";-1.53;NA;NA;NA;"o"
4;"Brickman et al. (1979), exp 6";1.14;NA;NA;NA;"o"
4;"Brown & Stasser (2004)";-0.72;NA;NA;NA;"o"
4;"Brown & Taylor (2000), exp 1";0.26;NA;NA;NA;"o"
4;"Brown & Taylor (2000), exp 2";0.33;NA;NA;NA;"o"
4;"Brown-Kruse & Hummels (1993)";0.5;NA;NA;NA;"o"
4;"Campbell et al. (2005), exp 1";-0.36;NA;NA;NA;"o"
4;"Clark (1983), exp 1";-0.96;NA;NA;NA;"o"
4;"Clark (1983), exp 2";0.7;NA;NA;NA;"o"
4;"Corfman & Lehmann (1994)";-0.47;NA;NA;NA;"o"
4;"Crowne (1966)";0.8;NA;NA;NA;"o"
4;"Fisher & Smith (1969)";-0.46;NA;NA;NA;"o"
4;"Frank et al. (1993)";-0.52;NA;NA;NA;"o"
4;"Fundenberg et al. (2010)";-0.4;NA;NA;NA;"o"
4;"Gillis & Woods (1971)";-0.46;NA;NA;NA;"o"
4;"Greig & Bohnet (2009)";0.22;NA;NA;NA;"o"
4;"Hardy & van Vugt (2006)";0.49;NA;NA;NA;"o"
4;"Holm (2000), exp 2";-0.76;NA;NA;NA;"o"
4;"Holm (2000), exp 4";-0.98;NA;NA;NA;"o"
4;"Holm (2000), exp 6";-0.76;NA;NA;NA;"o"
